('0d5b1b2b-a704-49bf-93d0-abf1fc352e6d', 'opis_zdarzenia', True),
('7c88feb1-d674-42e9-b582-a3b12492142b', 'opis_zdarzenia', True),
('30cc4393-dd89-4d3e-99ec-f860bfe9c2c6', 'opis_zdarzenia', True),
('a03ae374-9219-4c1e-9b20-7a4d3d341a0f', 'opis_zdarzenia', True),
('c03a7833-173b-43cc-a43b-6c2603888bc2', 'opis_zdarzenia', True),
('6e4237b9-a7ef-4f43-98ef-862a7cdd385d', 'opis_zdarzenia', True),
('e00e0a65-40a8-4fc9-b488-508da615d509', 'opis_zdarzenia', True),
('ff260d20-6643-4a0e-95ed-be9db93eaa21', 'opis_zdarzenia', True),
('1c8332fc-8cfa-4fa9-b9a7-7a4bd7f959c3', 'opis_zdarzenia', True),
('864966f1-90ad-48f5-a685-3a058703c8d4', 'opis_zdarzenia', True),
('4e2427ed-376c-499b-a817-f01216372676', 'opis_zdarzenia', True),
('6ac752bf-0d33-4b76-ba60-bd2c2daf2749', 'opis_zdarzenia', True),
('109a1226-49fb-44b0-8b04-f19e62b03be4', 'opis_zdarzenia', True),
('a32991bd-4087-4893-bb81-c85073fb679a', 'opis_zdarzenia', True),
('db5add9f-caa6-4d51-be1c-865a89641b82', 'opis_zdarzenia', True),
('a09eefd2-2184-4084-8505-3e186f778bc5', 'opis_zdarzenia', True),
('7fd40459-b7a0-423e-8f13-363eadd36b84', 'opis_zdarzenia', True),
('d7d77b0b-9ee0-4e9f-9cd1-cb6d069b2770', 'opis_zdarzenia', True),
('acae00a7-8645-4250-abcf-59682bdada40', 'opis_zdarzenia', True),
('86b4fef9-b52c-444c-b3aa-fa1f70b72d5d', 'opis_zdarzenia', True),
('bb1bbf39-8d42-4d9d-b83a-27d47abb4185', 'opis_zdarzenia', True),
('b7b55bc7-fb06-4836-aee5-369d5d1b9c78', 'opis_zdarzenia', True),
('41a5f39b-859d-4940-9527-c85b5ad7a5c3', 'opis_zdarzenia', True),
('def2ac9e-0e5d-4a05-a0a8-c13eaf9ab1b1', 'opis_zdarzenia', True),
('c6d9b90e-9632-44c2-9d14-99f256f1eae4', 'opis_zdarzenia', True),
('ea31a8fa-4cc1-45bd-9fec-a98cdfb4dad2', 'opis_zdarzenia', True),
('33fb52b3-b1a7-4cdd-86e6-f82b3be1fd6a', 'opis_zdarzenia', True),
('7a7db9ec-1384-4d38-9eb6-294f16ae65f0', 'opis_zdarzenia', True),
('04a938af-a12f-4625-9d6b-c122dcc26300', 'opis_zdarzenia', True),
('7f98bc77-42a6-44f2-bb0b-3ea6f97945c4', 'opis_zdarzenia', True),
('5058c1d1-dc80-444f-91bb-62e2e5191afe', 'opis_zdarzenia', True),
('dcc5b370-e0d3-4beb-9dc5-4d3867aff706', 'opis_zdarzenia', True),
('d5f06506-d28b-436b-8878-c9f86524d676', 'opis_zdarzenia', True),
('84d87763-578a-4fbf-a86f-983cde37eb31', 'opis_zdarzenia', True),
('ff8fed8a-aef8-433f-8e90-23c4a697c076', 'opis_zdarzenia', True),
('dae3539f-d2c8-419b-9ae2-6f3eca341c11', 'opis_zdarzenia', True),
('dfdf0456-5c06-4033-8968-9b61421ba78d', 'opis_zdarzenia', True),
('21b93eea-6236-48e2-8df2-61e253b854e4', 'opis_zdarzenia', True),
('c9fef5e3-feab-4f9b-8384-88ea4c2d47d5', 'opis_zdarzenia', True),
('4b38a17f-233b-4589-baf1-847e914b82c8', 'opis_zdarzenia', True),
('12374f24-45f0-4e93-88b7-3153df18c289', 'opis_zdarzenia', True),
('e0c432a1-18e8-44be-b5d8-324696d1d548', 'opis_zdarzenia', True),
('495097dd-dc9c-4bd9-9120-984c085729c9', 'opis_zdarzenia', True),
('a6bee260-9b62-4395-81b0-faba512ea455', 'opis_zdarzenia', True),
('e9ffbe85-72b4-436b-b0c4-d30ed45be5af', 'opis_zdarzenia', True),
('1050aff5-6518-4c37-815f-20663db9ef1f', 'opis_zdarzenia', True),
('4829502d-eb61-43e2-84c6-23ca8dd90433', 'opis_zdarzenia', True),
('f851f3d7-2f07-4d0f-ad54-888a15771fac', 'opis_zdarzenia', True),
('9a6d008f-5816-45c5-9356-507a3500a7f9', 'opis_zdarzenia', True),
('238986a2-a94c-472e-88aa-0cb4661457cf', 'opis_zdarzenia', True),
('bbb94d83-559f-426d-a295-d32213913eb6', 'opis_zdarzenia', True),
('ddf13597-7d9d-4aa7-b150-d7a28117518a', 'opis_zdarzenia', True),
('1fd770a5-0195-4278-9282-9bc52f90a0f9', 'opis_zdarzenia', True),
('58bcf4ca-a53a-4c2d-b50a-5bb51295bedf', 'opis_zdarzenia', True),
('b5d617e5-fe92-4e4b-a9a2-1ce4beb7b18a', 'opis_zdarzenia', True),
('2624533e-862c-4819-a3fc-46fb858f269e', 'opis_zdarzenia', True),
('1993ddbb-87e7-4bdb-a162-7c12126bab5a', 'opis_zdarzenia', True),
('d5bef182-bf43-486f-a1f5-48927eff8e45', 'opis_zdarzenia', True),
('4aa0f4dd-0d7a-45c7-9d0b-ee45c6f796ff', 'opis_zdarzenia', True),
('e909fbef-6a8b-4adb-959c-c5b0dac219e5', 'opis_zdarzenia', True),
('a9b309a4-29e6-4e76-9a09-0f43a82d3e67', 'opis_zdarzenia', True),
('38b51698-22f9-4253-9a95-1fd9f103a95e', 'opis_zdarzenia', True),
('2627dcb7-54be-4435-82ce-a6d7baa02d32', 'opis_zdarzenia', True),
('42931c46-d197-4afd-8101-3cda4024d195', 'opis_zdarzenia', True),
('bcb996cf-b8e2-443e-878a-5e2800c0eb49', 'opis_zdarzenia', True),
('1a294203-da94-4dad-ac53-802374dea353', 'opis_zdarzenia', True),
('e9ad65e9-894c-4449-976d-7ad83062419a', 'opis_zdarzenia', True),
('f4206bf0-2ebd-4467-8168-637acb4a398f', 'opis_zdarzenia', True),
('6bcec40d-4ee8-4a2a-a66b-c3043ef18083', 'opis_zdarzenia', True),
('2a694c6f-8843-4aaf-8692-f46a83eb8689', 'opis_zdarzenia', True),
('c5c68875-8b50-45c2-b09b-d3416d806907', 'opis_zdarzenia', True),
('cdad861a-6f81-442a-9896-ed1fdf7f885e', 'opis_zdarzenia', True),
('60b49b4a-c147-47bd-9dfc-fd07d216ec26', 'opis_zdarzenia', True),
('c6d4dd89-9806-4209-84ab-afb17066d169', 'opis_zdarzenia', True),
('83bdf516-0332-4852-80f3-48ba3b03a753', 'opis_zdarzenia', True),
('fb75b450-b33c-4f39-8875-8320869f95a5', 'opis_zdarzenia', True),
('e65f7b3f-804f-4091-adf7-c6c1fad38897', 'opis_zdarzenia', True),
('0372b4bb-fe20-425b-86bc-6207b77546c4', 'opis_zdarzenia', True),
('84d0e2e2-3495-4667-8e0c-287df1b52515', 'opis_zdarzenia', True),
('5cf852cc-dbcd-4158-bdc9-2b6796f8b470', 'opis_zdarzenia', True),
('780739ba-36e5-4b3f-bf50-1dc168298d2a', 'opis_zdarzenia', True),
('d5a6cb53-2ee6-4308-bea5-46661a60fa52', 'opis_zdarzenia', True),
('cdc99241-5fbb-4211-adfb-69e4b21482b0', 'opis_zdarzenia', True),
('0fb9debb-28b3-4229-b7ab-a5f06f5d5f04', 'opis_zdarzenia', True),
('b65ab52a-2450-40fb-b7a5-796f5806ebbf', 'opis_zdarzenia', True),
('9306215a-0875-46d8-a399-c9a87038cb59', 'opis_zdarzenia', True),
('4c8ffce2-8a9e-4584-9acb-aaadbef08b67', 'opis_zdarzenia', True),
('a293cd3a-aa7b-445c-abc8-231991e34acf', 'opis_zdarzenia', True),
('e9724287-1fcf-4709-9bc7-66aa31d41ea7', 'opis_zdarzenia', True),
('1b870af6-6dde-4bf7-9935-cfc2e261eab6', 'opis_zdarzenia', True),
('f0784370-cd74-4c98-82a0-b1a527c1ed84', 'opis_zdarzenia', True),
('2816a7d5-2f6b-4e7c-8542-3d7e6ed6405d', 'opis_zdarzenia', True),
('8d36bae4-1a4b-46d2-abb1-4532febf4717', 'opis_zdarzenia', True),
('b139214e-4afa-4714-ad58-5df6f52a6dd9', 'opis_zdarzenia', True),
('039cf6b9-ee15-4238-b8bc-a368efa2e6ce', 'opis_zdarzenia', True),
('39aeb949-eb66-442a-b17f-110a7add22a9', 'opis_zdarzenia', True),
('06bc3e34-7883-4346-adfe-7430114fba64', 'opis_zdarzenia', True),
('a51e1d4e-6dab-47dc-b8ee-90c91ff24fd6', 'opis_zdarzenia', True),
('4f389def-7017-4f7c-be52-c5eb9fd50567', 'opis_zdarzenia', True),
('357c59c6-1787-4068-874f-822e9ffadc18', 'opis_zdarzenia', True),
('27694814-a41e-4fec-b0e0-56fa5da5c5fb', 'opis_zdarzenia', True),
('6eed0452-b94d-4123-941e-69c8af16e5a8', 'opis_zdarzenia', True),
('17bb7db2-6d5b-4791-9ab3-9abf15f4658f', 'opis_zdarzenia', True),
('515bd530-6526-4e8e-b140-bb6cbefe0fe3', 'opis_zdarzenia', True),
('7be95684-e262-492b-905f-e8ea97e5c875', 'opis_zdarzenia', True),
('431dd21a-5939-47d6-8e0a-b285996fb54d', 'opis_zdarzenia', True),
('85e2ca11-4695-4dda-8789-48900d545509', 'opis_zdarzenia', True),
('ecd5bd66-e468-432d-b897-114ab0e9c482', 'opis_zdarzenia', True),
('2fa5638e-2caf-4d30-b2e6-fc4f87e49745', 'opis_zdarzenia', True),
('1daccca6-7569-48b2-b184-5cf9b241865c', 'opis_zdarzenia', True),
('0e9ee384-8bd9-462c-86aa-b4967216e884', 'opis_zdarzenia', True),
('fb5f62da-c2c2-4d71-8ae3-535189508531', 'opis_zdarzenia', True),
('d017830b-ad95-415e-8eb9-ec6f0d768f73', 'opis_zdarzenia', True),
('588a9225-42d0-4d04-965f-1de747b0c14f', 'opis_zdarzenia', True),
('f1ad3f0c-9cc7-46e0-8636-707436e03a72', 'opis_zdarzenia', True),
('e3180ca2-edba-4fc4-99c2-27db68f4f1f0', 'opis_zdarzenia', True),
('0386fdd3-fc5d-4d40-bdd2-34db555fb361', 'opis_zdarzenia', True),
('232cd6bf-160f-42c1-b45d-17edd23e42cd', 'opis_zdarzenia', True),
('0458eadf-ca14-440d-8f4a-9ebcab4a6a4d', 'opis_zdarzenia', True),
('c12b1094-c94a-4c22-a76e-4d785a830fbe', 'opis_zdarzenia', True),
('e09d7de2-0d7e-418b-ba0f-5fc7bd94fa2a', 'opis_zdarzenia', True),
('cfc94a3e-daa6-47c8-9e05-9739bffcde25', 'opis_zdarzenia', True),
('a49c5ae4-13e4-4aa0-9383-899805edf230', 'opis_zdarzenia', True),
('417b1c4e-8121-4e08-a5b9-38111e7a7cb1', 'opis_zdarzenia', True),
('be253ef3-9afe-4ed5-a5ec-e54f73178d81', 'opis_zdarzenia', True),
('719b9906-bca8-47d5-9f83-7259fd55e60a', 'opis_zdarzenia', True),
('7b45bc3b-dbd3-44d4-bdc5-3c23824e15d3', 'opis_zdarzenia', True),
('4668b5bb-745d-47e4-9cff-cfb799aa72e8', 'opis_zdarzenia', True),
('66996c52-db67-4f25-bf24-ad1a291c8f68', 'opis_zdarzenia', True),
('0ca5e70c-1f6d-4248-8ef9-9d1f43f52cc1', 'opis_zdarzenia', True),
('42907709-1494-4836-a3ab-a5bda1471377', 'opis_zdarzenia', True),
('d8b7a840-2dd5-481d-ad42-41d690df816f', 'opis_zdarzenia', True),
('216b80ae-7e21-42e6-9f1b-9df6bc8ed567', 'opis_zdarzenia', True),
('aa4694bb-9eea-40b0-abef-ff05b5baf5de', 'opis_zdarzenia', True),
('dd994c81-eab7-427f-8aff-35373776bdde', 'opis_zdarzenia', True),
('d3526e8f-cfeb-40d3-bd06-9aee2c22c812', 'opis_zdarzenia', True),
('a07d45de-dc1c-45dc-b8e7-2ab38069ac8a', 'opis_zdarzenia', True),
('ff5c5060-791f-45df-a6e3-cc2c52665328', 'opis_zdarzenia', True),
('38346736-7a42-4ddf-9f25-5bfc914af8f4', 'opis_zdarzenia', True),
('e85f8f69-57f1-4a8c-9ff2-365b8fd33e83', 'opis_zdarzenia', True),
('6c0a57de-8efa-4e4e-8cfa-01512468a2fc', 'opis_zdarzenia', True),
('a6875922-fdc8-4fcd-b7f6-5a2a3710dc77', 'opis_zdarzenia', True),
('e60f9497-a68a-45d1-8daf-0536af1add09', 'opis_zdarzenia', True),
('18898182-78c1-40cf-86cb-4cbceb180eb8', 'opis_zdarzenia', True),
('7130b863-9d3f-4812-aaa6-a6c730854bc5', 'opis_zdarzenia', True),
('85e2feec-286b-4518-9bff-b868facd9487', 'opis_zdarzenia', True),
('1c5193cf-5007-4dce-826d-2b38323a7e38', 'opis_zdarzenia', True),
('e5c57c3a-8709-4978-813c-efe1cc4cfe67', 'opis_zdarzenia', True),
('dc15acd9-e54d-422b-949f-fa85c0ed7619', 'opis_zdarzenia', True),
('328729fc-e42e-4d34-af69-2019041fb61a', 'opis_zdarzenia', True),
('86a0d0af-240a-4e37-916e-56aa30c1aa91', 'opis_zdarzenia', True),
('e82efe13-430d-48a3-913a-43c8b0623c86', 'opis_zdarzenia', True),
('ece0eacf-0587-4964-b4e9-24da1cee7345', 'opis_zdarzenia', True),
('047d15b9-6cd1-4f7b-a470-7713ee8531d7', 'opis_zdarzenia', True),
('39f268db-f9cb-418d-b7c2-806134dbbab5', 'opis_zdarzenia', True),
('043074e4-e9c5-42bb-9d53-1f3edcc6865f', 'opis_zdarzenia', True),
('64a69cb4-33b4-4b9b-8218-7083f3291fc8', 'opis_zdarzenia', True),
('f493620c-0166-401a-bbb2-31f888cad996', 'opis_zdarzenia', True),
('b21c2be8-2c50-4a80-8217-4029c4c5baec', 'opis_zdarzenia', True),
('1ad3a657-6ea6-4577-9a91-00123b792d09', 'opis_zdarzenia', True),
('91711125-e61e-4e8f-b03a-a31244769a19', 'opis_zdarzenia', True),
('23f62a97-9885-4ee7-a0c0-e1f89c1852e0', 'opis_zdarzenia', True),
('2fe76c8c-67d2-4e6e-955d-ad6b01070e38', 'opis_zdarzenia', True),
('97bd94e3-1601-485a-8f54-3c07577655dc', 'opis_zdarzenia', True),
('ac2e4537-4e94-429b-93d0-9e1de23786b2', 'opis_zdarzenia', True),
('46430d6d-b617-4cbc-a273-815bd4817dff', 'opis_zdarzenia', True),
('68f145cb-86a4-42b9-955c-851cb5fe164d', 'opis_zdarzenia', True),
('72ec7c86-f15c-4f4a-9b28-0e396a425238', 'opis_zdarzenia', True),
('a2937638-e174-4aca-86ba-a89a76c51fbf', 'opis_zdarzenia', True),
('d2b1fdc3-0bd9-4b57-86b6-89e3c2c7a9cb', 'opis_zdarzenia', True),
('0d6d71c5-1fcf-4147-a44f-c2cbc0b856af', 'opis_zdarzenia', True),
('2387da36-dcd2-4245-9bba-966ba22c6678', 'opis_zdarzenia', True),
('83ea500b-5d8a-4d6e-92c5-393624c25516', 'opis_zdarzenia', True),
('1bcfb708-189b-48f9-9706-cf5ae7f5bf04', 'opis_zdarzenia', True),
('8f4131ae-5b6a-44ab-a8c3-287bff460d12', 'opis_zdarzenia', True),
('cb6600b3-ef18-4727-86d1-e1fadd6f5018', 'opis_zdarzenia', True),
('e8cca718-7ece-469c-8b5b-bfc4dd4fd171', 'opis_zdarzenia', True),
('fa9bf7bb-ffd9-47e4-9539-b42649ba3b38', 'opis_zdarzenia', True),
('2aaf1f2f-4c38-4d81-bfd6-3ebfb9a4871f', 'opis_zdarzenia', True),
('c8c3e4bf-d369-4421-90b1-911dc1a6d2c6', 'opis_zdarzenia', True),
('bafb0de4-1313-4f39-a196-41793f73d2f7', 'opis_zdarzenia', True),
('46a0520f-d68d-4954-b10a-caa399fb9b15', 'opis_zdarzenia', True),
('dc737e59-62b2-43dc-965a-81dc2617b21e', 'opis_zdarzenia', True),
('9704c0d5-1f53-4beb-b2db-7b2124dbd78a', 'opis_zdarzenia', True),
('1c82f5eb-a443-46a5-8fe4-4d6fe189f797', 'opis_zdarzenia', True),
('3cc8eac4-cae1-4621-be44-fb8b4651ae8f', 'opis_zdarzenia', True),
('74ca8e24-12b1-40dd-addf-486f6f2abb4e', 'opis_zdarzenia', True),
('a2375f8c-154c-4ca0-94c7-ce16341ec083', 'opis_zdarzenia', True),
('a88155c9-889d-4af1-a3d9-636571769ee0', 'opis_zdarzenia', True),
('42a0d5a1-1308-4130-a6c2-310285e7fa64', 'opis_zdarzenia', True),
('b44ad791-f778-4976-8c7f-2573bf56bea8', 'opis_zdarzenia', True),
('aaa99f4c-ca27-4a08-9c46-fec74c192ac0', 'opis_zdarzenia', True),
('bd69bc62-7327-435c-bc5a-39204d766178', 'opis_zdarzenia', True),
('6f16f2a0-1cd5-4a0c-be1d-8f0c5a72a240', 'opis_zdarzenia', True),
('8311cd61-f5bf-484b-94f8-1ebc28cf16ad', 'opis_zdarzenia', True),
('37ce80e9-82a1-483e-b9b4-b4ce19881390', 'opis_zdarzenia', True),
('982e42b1-f5ad-4227-9765-a5622de97649', 'opis_zdarzenia', True),
('1b3d5895-460c-4d00-80bb-bd45bf14764b', 'opis_zdarzenia', True),
('5fd075ea-4cab-47b6-9932-60abf3bfd8c9', 'opis_zdarzenia', True),
('614d0ec1-9447-4fd7-ab6b-ce33b385d570', 'opis_zdarzenia', True),
('7d76ffd2-bda7-4952-a1fd-a07f396b1a7d', 'opis_zdarzenia', True),
('a186b330-d8f2-4297-ab97-be4c7c124a51', 'opis_zdarzenia', True),
('bb26155b-ec73-4d04-a8b2-83fc08faee2c', 'opis_zdarzenia', True),
('310ebf37-b06f-479e-a77c-f88bfbd4845d', 'opis_zdarzenia', True),
('9b9ebfce-da99-4862-928d-cc22dceb9ead', 'opis_zdarzenia', True),
('230d9f61-9c84-4dd1-b873-8e079d74ff79', 'opis_zdarzenia', True),
('9efbf31e-c228-4fc0-86eb-ae15821a4ad5', 'opis_zdarzenia', True),
('1d1b0b0d-1ed8-4736-b518-7be3e4bdb909', 'opis_zdarzenia', True),
('7550fb6a-f454-49c5-ac72-3fcf899f4e9e', 'opis_zdarzenia', True),
('c3eda027-84e4-4c10-97f0-25b777282dd8', 'opis_zdarzenia', True),
('59c05e40-d5f7-48b1-9399-3a5d988587a1', 'opis_zdarzenia', True),
('6b6d56fe-2bb9-4f78-8483-d7debf5453f0', 'opis_zdarzenia', True),
('64f77aca-9574-4d9c-937c-d23a77069f84', 'opis_zdarzenia', True),
('ebd35d4a-11a9-47a1-9391-1121bcb1c331', 'opis_zdarzenia', True),
('96ff5437-cf21-411a-8489-8913604a5863', 'opis_zdarzenia', True),
('40ee3dd3-889d-421c-8efd-9fad8b45d1a7', 'opis_zdarzenia', True),
('d8f8811c-0307-4a5c-bb48-235f35ba0d1f', 'opis_zdarzenia', True),
('6fec13af-0b4c-439c-a5ac-9b331cc82150', 'opis_zdarzenia', True),
('cab4ad88-35f4-4f4f-a765-e0e8f59e528a', 'opis_zdarzenia', True),
('60f42cee-de4c-4a7f-bcbf-656bdb522d8c', 'opis_zdarzenia', True),
('d989e897-ff4b-413f-a722-11e818aba729', 'opis_zdarzenia', True),
('c4a9bae2-7319-4270-96d5-4d38df19021e', 'opis_zdarzenia', True),
('2e7e8639-fa15-43d3-8a00-ffd9487cd5a0', 'opis_zdarzenia', True),
('a91f3d41-56cc-4d27-82f4-6a103e5e58ad', 'opis_zdarzenia', True),
('7a77f8e0-9bd2-435e-b1bd-1d2b7132b79b', 'opis_zdarzenia', True),
('31cf30c4-1f7b-4298-ba02-3512b0754da0', 'opis_zdarzenia', True),
('c1961638-0fa9-4396-9263-82252e7bcdf6', 'opis_zdarzenia', True),
('5ebcf25a-ed8f-437a-a6b8-467cbb25448e', 'opis_zdarzenia', True),
('2eb13013-ae0f-4694-a726-bfce0db5590b', 'opis_zdarzenia', True),
('89aa3db9-7ea6-48d9-b9e2-ed010dcfa7e2', 'opis_zdarzenia', True),
('a5376d00-e485-42c7-ae52-ab1f3a4ba872', 'opis_zdarzenia', True),
('c545dba8-7f22-493c-91c7-a5e6e2c82be4', 'opis_zdarzenia', True),
('8f42c7ad-a593-43fc-9a85-76501e66c865', 'opis_zdarzenia', True),
('5fe468b3-c394-441e-8cde-b0074ddd367f', 'opis_zdarzenia', True),
('73910065-d1a5-4038-82bc-aa9500625b3c', 'opis_zdarzenia', True),
('560cbf24-440f-4037-9c19-cbf2f9c8c5c4', 'opis_zdarzenia', True),
('11bd1822-def9-48ae-be21-8256353ebe82', 'opis_zdarzenia', True),
('b3c9084c-9dc8-495f-94a9-ae280f57168f', 'opis_zdarzenia', True),
('d4d7f8ae-b923-4d64-a9f4-324d8914ecb3', 'opis_zdarzenia', True),
('7d170b08-a602-479d-8505-c86cf5733e65', 'opis_zdarzenia', True),
