('4024b02d-cb42-4138-83e7-017ecf2948af', 'ALL'),
('ea6036f0-5e19-4187-8579-08f8ddf240b3', 'ALL'),
('d893cc53-0b8c-490b-bc84-c40292885248', 'ALL'),
('de80f9ea-6df4-4034-8932-10ee141073fc', 'ALL'),
('831af90b-f47a-4ca2-96dc-72b08da420ff', 'ALL'),
('e606071a-ae21-4d20-843e-fdd859e2f946', 'ALL'),
('f3db2160-24f1-4484-b737-d39d55d6d52d', 'ALL'),
('082ebfe3-35e8-4eea-b7f5-5e6ad7743ffa', 'ALL'),
('5652b934-fecc-4aa0-a64b-162aec0f75ba', 'ALL'),
('c8e6a230-2714-4e13-94c0-0a8ea7d5c250', 'ALL'),
('bcb15809-ed33-457c-a4fd-27b81aab0189', 'ALL'),
('d3b692fd-831c-431a-9ef7-cb32783cd9cf', 'ALL'),
('f138a213-d1d6-42db-8ced-b7887a80ff85', 'ALL'),
('8fa2bbfc-6f6d-4e9d-b6a3-47efe12ac03d', 'ALL'),
('b86d0b7a-9cd1-40b3-85de-6817a6988c0e', 'ALL'),
('ebb99c29-7b7f-43a8-8353-81d71619f12f', 'ALL'),
('3ad6649a-397c-4583-9e6a-6d1206ebd906', 'ALL'),
('caf6005a-7b02-45f6-9707-1d5ebd16edb0', 'ALL'),
('dbc89519-88de-4f31-9b52-d458b97e6b13', 'ALL'),
('027490f9-dac0-4d39-a042-65b169516aaa', 'ALL'),
('8dad9d77-e72f-4b92-8ce2-ed9d5badb905', 'ALL'),
('69b9ae30-054d-4aaa-bb08-e8343124d8c6', 'ALL'),
('046c096a-cd90-49e5-86f5-d74f1e8fe914', 'ALL'),
('32d0107c-c4be-465e-b922-04091a413ca9', 'ALL'),
('5625fda2-3d1f-4393-b0eb-7ae5ae214f29', 'ALL'),
('9f2497af-784d-4483-95b9-8a7bfcef990b', 'ALL'),
('c71a4a7c-95ec-479f-92c4-8841759b17ad', 'ALL'),
('fd50690c-9325-4a92-ab08-eac6216fb10a', 'ALL'),
('0de08761-4e25-4f34-b113-6a79171f550f', 'ALL'),
('87ff7113-2496-46e2-ba61-37fd50d86830', 'ALL'),
('9b4bb270-4236-44dc-be3c-b5dd30c4c7dc', 'ALL'),
('45e4d467-82ac-478e-9542-0f6fb9be5641', 'ALL'),
('ef6e7289-79b3-42e8-99c8-8f0d8dbf2320', 'ALL'),
('9387aa50-5440-4bf4-a74d-026b5cc08d23', 'ALL'),
('2ae958e2-8542-435e-8b5f-2f4ba75c9ddf', 'ALL'),
('2b79ef05-442b-4d25-9ff9-a7ba34fcb529', 'ALL'),
('a0773086-aad9-4dba-8a3e-f0a7667c57a7', 'ALL'),
('2b6b2d32-96ff-4aa7-9378-cf8b6b1c5e52', 'ALL'),
('4912d622-fc6b-4580-9387-ba9b2d82af9c', 'ALL'),
('b7b0b638-50f4-4c4c-a033-2a19f38454cf', 'ALL'),
('585a3b9c-0caf-4f84-b014-b6383de401ed', 'ALL'),
('be67912f-a5e4-4555-90c4-be0dc293cd66', 'ALL'),
('e7e60f2d-41da-45f6-9352-24a7e5f73323', 'ALL'),
('53063fef-0742-4ac9-8abb-ca262fd3d815', 'ALL'),
('a26d6fb7-5c58-4292-8c30-2390bd841ef9', 'ALL'),
('910f6952-ee8d-4ac1-afc7-e873d0e04cfe', 'ALL'),
('953ccc6e-1e0c-40fb-b50c-4650890a00fe', 'ALL'),
('c65fbf30-90c9-4fca-9f19-72d16c65883f', 'ALL'),
('3cf7a9f0-c77a-47b6-82eb-280d66594a7e', 'ALL'),
('e80a11c5-3880-439d-bde6-55ec83aac2ff', 'ALL'),
('1df58d68-8a79-4451-b94b-85563e6a602b', 'ALL'),
('6fc45b22-986a-40c1-8e0b-cde7294161a8', 'ALL'),
('878b94e1-8c28-4ed5-a72b-1e0d4a545f82', 'ALL'),
('b3132a7e-3b3c-44c1-a386-fbe2b2a8f738', 'ALL'),
('e566d7a0-3765-4ac9-8d65-afc07ceda164', 'ALL'),
('87ad973b-efd7-4ede-af23-9806d1ed057e', 'ALL'),
('53521a19-1a48-4a76-8855-d556639cc41d', 'ALL'),
('2d1d7963-d612-435b-a9c8-94872ebebdd4', 'ALL'),
('a14695c7-eade-46cf-83f9-42452975baed', 'ALL'),
('36df7a32-7d94-4691-b017-949699f46716', 'ALL'),
('d123e45b-de0c-40e7-9584-4068e5e9b6c7', 'ALL'),
('941e7bde-d139-4812-9ef3-391bd5035da9', 'ALL'),
('6fa79b07-bef1-4152-9a48-ca10a16f8cf3', 'ALL'),
('f39b38fe-13a0-49c0-99b8-befed91757ba', 'ALL'),
('332def77-cf67-4556-80eb-80829dde6d9c', 'ALL'),
('b9283469-f442-4edf-9325-0a2b6495434b', 'ALL'),
('a76af4d0-a1b6-420e-9a3d-bda90efc0859', 'ALL'),
('6002dae9-2457-48e6-aad2-2d5a9be4a4e6', 'ALL'),
('bd702878-78a2-4bc2-b885-69c4e73c4566', 'ALL'),
('d9364ec0-7717-4449-acaa-58fbf57f7bc9', 'ALL'),
('abaaa071-2457-451f-9c19-e49534b23561', 'ALL'),
('77b18640-5f6b-4047-b3cd-2a379550f7c1', 'ALL'),
('5e2d2d80-cda9-4a56-b532-a1f8d13b6824', 'ALL'),
('d2137e02-5a5e-406b-b957-90cddc182436', 'ALL'),
('477947e0-e7e5-4ada-8298-1e2f99e19e63', 'ALL'),
('b913ce93-ec27-4fca-9abf-1bb5dec0af13', 'ALL'),
('059418a9-8e08-4c9d-8f47-7a53159bc852', 'ALL'),
('05dcdb67-e299-43b9-b504-9904c0e83793', 'ALL'),
('ed7179b8-eabc-4081-a21b-38dbe654dde2', 'ALL'),
('f8e49e54-040c-4332-8cdb-daead8454cdf', 'ALL'),
('b73805f4-b03e-4085-80f3-1c1c14c314c4', 'ALL'),
('e59e3386-a60c-4e39-9199-d7c016ccf5f0', 'ALL'),
('a24f089a-5759-420c-b7f1-b32d00d6c69f', 'ALL'),
('1da31e26-3224-4c2c-935a-1851ebab2ff1', 'ALL'),
('bc0cd992-4452-4a7b-a9e0-7ba18ded8e9c', 'ALL'),
('85777ada-a8c2-45f0-9557-798cae14b49e', 'ALL'),
('a1360643-f5df-4f11-8da6-8dac23655a12', 'ALL'),
('c7631491-8350-42cf-acb9-7b773042cc08', 'ALL'),
('439a1342-80c4-493a-839e-20151c16a9f5', 'ALL'),
('db6f910d-e732-4187-80ed-94b18dc35c0e', 'ALL'),
('1777bc8c-aa67-4dd2-805d-20c03137f860', 'ALL'),
('386b6eae-5270-4dec-a6f8-5708952884af', 'ALL'),
('40cb8651-07eb-463c-aa05-a35c55e674ed', 'ALL'),
('61e948f0-99f9-48e1-9d97-f6c1e0599048', 'ALL'),
('498c7a02-0c4a-47bb-be08-73638657032d', 'ALL'),
('05992294-ff68-4fad-b7b1-3ec8154495c1', 'ALL'),
('910b6c58-005a-4397-95c2-a7e13260d1a3', 'ALL'),
('73fbdc28-b7fd-4391-ab1b-16906c326b92', 'ALL'),
('ce76667f-1c83-41f1-9d3a-fde09bc7e5a3', 'ALL'),
('4e345f70-9922-4f92-a773-cef179b79e16', 'ALL'),
('b3b746f9-3b44-405e-b476-a24f5b7a8be3', 'ALL'),
('cdb3e341-0342-43d5-8415-1e2c5c98178d', 'ALL'),
('ceb818ec-9ab6-48b0-bce0-eddce5cf7406', 'ALL'),
('81fa77bc-b6f4-4dd0-8070-03a014efd80e', 'ALL'),
('e220e840-0769-4f92-a6b7-42e9ae41614a', 'ALL'),
('48aa51b0-c2aa-453d-83fe-0a0e3de27c88', 'ALL'),
('bb2d0119-515c-48ae-8572-63ab4b211800', 'ALL'),
('ae99fc8a-b799-4655-8d15-ffd58474e47f', 'ALL'),
('e8db005a-56e2-40f7-af68-be43c44530db', 'ALL'),
('bd18a8f3-3de1-459c-b7e1-07a2ae5d9f35', 'ALL'),
('640ad57e-bcba-4192-83d6-150a009387e1', 'ALL'),
('b1e0dc0a-7d1a-43eb-8799-8ec23cbe2868', 'ALL'),
('97dc6062-7a17-4afb-a6eb-a09d553e0fce', 'ALL'),
('9ebe8c36-f659-42c8-8650-12604d7ead10', 'ALL'),
('646d94b2-864c-479f-99d8-3eec390cc960', 'ALL'),
('2d9bbb19-028a-46b2-afb9-08f7bd3fa572', 'ALL'),
('4de5c162-909e-4686-83e9-5b84231f0cd0', 'ALL'),
('d743c5fc-9260-4982-943b-7c988859c391', 'ALL'),
('40858bcf-c762-425f-a3b2-1d3ca7b6c8c5', 'ALL'),
('0f995df0-d001-4990-957b-60c251260541', 'ALL'),
('8d65a018-08e7-462c-8724-c3b5c00ea495', 'ALL'),
('77f19331-4af8-40c6-8ef2-951e14ba2926', 'ALL'),
('c9cf1ab8-9284-4737-928e-94c7a9eceba6', 'ALL'),
('ed50b6ae-938c-4946-92ab-86cee5880096', 'ALL'),
('e84d4a19-241b-4c59-9404-c20978a413e6', 'ALL'),
('e781cd13-eeb1-44e5-a1fd-aafb3272f9a6', 'ALL'),
('694fa84c-8333-4cfa-a974-344a403764dd', 'ALL'),
('f4131e68-c468-4e5f-aeaa-2eb933a5a086', 'ALL'),
('fe1ec3d7-a9bb-47c6-88b7-eb9810ea1d6f', 'ALL'),
('f7fd8839-1b0a-45fc-9586-a3f977c05513', 'ALL'),
('250da9d6-e550-4c36-9278-be54e4385011', 'ALL'),
('ad71e86d-616f-4cfa-9e0a-c6b41d6be727', 'ALL'),
('3364a842-ca5f-4c35-828d-1cfbb3aa89bb', 'ALL'),
('b0f65c6e-dee5-4911-93d1-67f6b8eff34a', 'ALL'),
('337a8830-e4f7-453e-abde-11a7ad17ffd9', 'ALL'),
('b1f35a3d-c19f-42c4-8e70-ab9d4ac0492e', 'ALL'),
('d8023d28-f1fa-4004-8833-843d50df8da4', 'ALL'),
('1edf4d1e-1f44-42a3-aeff-12a543f140fc', 'ALL'),
('ead939e4-8343-4c2e-9a72-067586584f1d', 'ALL'),
('bb1f615c-1dca-42a0-942b-9ede2479e141', 'ALL'),
('e3219dc2-2811-4b74-bdc7-4ee32f99bfce', 'ALL'),
('603f15c2-569a-4471-ac41-e5ff674189d7', 'ALL'),
('22985697-1204-4db4-bdbc-16b438bcb6d1', 'ALL'),
('f74f2485-18a2-4bb0-9dc9-65487d391dab', 'ALL'),
('c720524d-dccd-4c28-b4da-8692b32e17c0', 'ALL'),
('f98952ea-741c-4be8-90bb-ab21d173048c', 'ALL'),
('2b44f088-c099-410f-acba-ebbaf8424de3', 'ALL'),
('4abfd5ed-5e58-4da5-91c3-81cffbe2de23', 'ALL'),
('1052b71a-0bf6-40e9-933f-dd2b7441a43e', 'ALL'),
('26fb84c5-203a-4080-9fce-0a32c8582c27', 'ALL'),
('4b69b92b-422b-4268-bd7a-eed0e7e48acd', 'ALL'),
('5f7b74ad-887e-4de4-bc60-ae2807a918e4', 'ALL'),
('5ccd9bd5-9440-4214-b640-76675fa53625', 'ALL'),
('f92a5d49-2643-48a6-b553-5fbb0d41994f', 'ALL'),
('fb313d50-8f1c-4142-b817-5d18e47feecf', 'ALL'),
('41b87481-c919-409d-91ed-32c24e857de2', 'ALL'),
('beccf939-0be4-4ae8-8baa-4ef0b8759b7c', 'ALL'),
('fced8876-7425-4c9b-bebd-d056ffc3ced9', 'ALL'),
('8fb24554-2cd4-4bd7-8d33-d70e03084b43', 'ALL'),
('8a26e4ba-5b80-4d09-8f39-6041f1457826', 'ALL'),
('c7212c38-f345-4786-b39c-4b018e1600cf', 'ALL'),
('64114aac-40ce-4d2a-8b02-be8639fcecf4', 'ALL'),
('4691e75e-7878-4430-bc34-b108395e4461', 'ALL'),
('8f570469-b839-4bbc-9a15-d972451e6a3d', 'ALL'),
('34f0410f-f3b8-4ba2-8cb4-e22eacce9ded', 'ALL'),
('48617c59-e513-41ee-bae7-8a42835d46d5', 'ALL'),
('1b8da66e-c42a-40b7-9a29-81fad6f54f63', 'ALL'),
('4e688cd1-8fd7-445f-b3f9-9d508ec77701', 'ALL'),
('cc87aacc-0eea-4d85-bd0a-8d43deacb5a2', 'ALL'),
('81338f1f-e79e-477e-a3c6-110a16f25607', 'ALL'),
('614fd8eb-70b6-4a71-b9db-f76bab560424', 'ALL'),
('4acde778-f2d1-4ccc-99d9-88a017530577', 'ALL'),
('a63ef8ea-adc9-4df0-87bc-60ca77f397de', 'ALL'),
('44ed4518-6aa2-4a0d-9f32-b84718f93696', 'ALL'),
('ec6821c6-f883-4aca-bddf-ed239caad208', 'ALL'),
('9a042f67-e1ac-476b-9044-0dc51e5423af', 'ALL'),
('a273c738-e62c-47a0-a868-9f5eb3acc94f', 'ALL'),
('1a59731b-1474-4dbe-9946-eec289dfda3b', 'ALL'),
('6d5061f2-f05d-4480-bd48-f7386fa7b44f', 'ALL'),
('22c9ef05-ebf0-4111-9160-2eaac4769b11', 'ALL'),
('51c4200f-beb3-4786-88ce-15951711dc95', 'ALL'),
('b4ff9e36-12be-4f4f-9e58-547abcd28656', 'ALL'),
('b836fadc-8c2a-4f62-8572-b9682a30ab8c', 'ALL'),
('09f90dfe-841c-444a-850b-18b0b22067e8', 'ALL'),
('1fa174d7-1968-42b3-aca9-066cce70410b', 'ALL'),
('37a20350-f32e-4b07-ae00-3118f0742d1a', 'ALL'),
('98799ead-2e68-4e3c-8a07-9106461d8c0a', 'ALL'),
('6e040577-802f-4506-ac97-4a6bbc8811ba', 'ALL'),
('eced04f8-8caf-409f-82c3-b922f5ff91d6', 'ALL'),
('08895775-1a04-48bb-ab2b-69ef25298f68', 'ALL'),
('39518c6a-5fe4-4625-a9ab-274543fe3465', 'ALL'),
('e41a2441-2425-4476-8ec5-ae25f3eabc46', 'ALL'),
('734f797b-b620-4f53-b663-4413de9baf2e', 'ALL'),
('fd564490-7db6-462b-9a04-3ced15a390d6', 'ALL'),
('d0a7d3f7-ba4c-4251-8cd0-6522f4c8c30e', 'ALL'),
('b74416b6-aaa3-4638-bf18-2598708e9663', 'ALL'),
('d5849139-4fcd-49ef-8151-2a102a61e054', 'ALL'),
('ad6355f6-fa5e-4c52-9673-1d67ae7cb8c0', 'ALL'),
('0d035d3b-3cbc-4730-a542-fab0a1b87cf3', 'ALL'),
('24b51382-36f0-4128-b9dc-8d621575e70a', 'ALL'),
('a5301e78-4804-43f0-9b0f-72bc42a3a466', 'ALL'),
('0c769f57-6dd5-4bad-b79f-9116628e7c7c', 'ALL'),
('43f61927-521b-45d7-b647-c5cacfd152a8', 'ALL'),
('a05c5292-a4b3-47fe-98ce-5fe2b30f7806', 'ALL'),
('ad4a8aca-a9fa-4f50-b2b7-a497228b0e0c', 'ALL'),
('568705d4-aad2-42bf-9e6e-147448871a1b', 'ALL'),
('7524c230-29c3-40b3-b23f-92deb06186d8', 'ALL'),
('28bc5626-a898-4910-abb4-d843d687f16b', 'ALL'),
('fc5dadae-b107-458e-9120-682e65eb11f5', 'ALL'),
('011fb90f-483b-4234-b825-ed06076e8a44', 'ALL'),
('295b8670-5c6d-4a19-8845-faee29c0839d', 'ALL'),
('f917514c-bada-475f-843b-8d5631dc0557', 'ALL'),
('ec63a6d1-f305-4772-9ca3-2e39cefd9584', 'ALL'),
('63ebd0dd-61aa-4d75-96f0-0182d2a90b50', 'ALL'),
('9e738ab0-41cd-4337-813a-aef30559281c', 'ALL'),
('035bf998-7cb2-438f-9674-806b176c5b17', 'ALL'),
('a354b043-59ac-4bdb-840d-7551c01340db', 'ALL'),
('56bcde73-b90a-4b37-a8cd-1b6ef8ddf1ba', 'ALL'),
('fdcaa7e8-50c0-406b-97b5-306017ffca7c', 'ALL'),
('2398f798-97b5-4bc4-8f3b-fd8b255c09ab', 'ALL'),
('f10209cd-c7b5-4160-807c-fab1ca261c89', 'ALL'),
('01486fb2-4951-4ce1-bd01-a86c180babaf', 'ALL'),
('12696112-38c4-42cc-97dd-095ed01a0ec6', 'ALL'),
('ac26d426-7774-46c8-ba4f-16ef6a413a5d', 'ALL'),
('1924bfae-6aeb-408a-afea-0259ebb0d19f', 'ALL'),
('5862dc5a-8f03-4e3b-b009-af829fd17413', 'ALL'),
('8b784544-fcc9-49b8-b5d3-39fd3debdb89', 'ALL'),
('6a71e615-b172-4641-b3a6-acc64d8a690d', 'ALL'),
('0f2dd264-5161-4c52-a885-b25003cb4539', 'ALL'),
('c40875f4-4706-45e4-9372-c61ef3dea25f', 'ALL'),
('5936ea85-8dfb-4060-9abc-a3fafafaccfe', 'ALL'),
('89191e85-ac75-4d75-a2d4-141814ace6be', 'ALL'),
('b63868cb-d575-430b-9541-258826af5118', 'ALL'),
('dea1539b-2ac8-48bc-adc6-20049ffc7514', 'ALL'),
('6ec7d4ce-5928-4c55-a08e-da88b87c5195', 'ALL'),
('f9210557-74cd-4610-a039-33332f0e23c4', 'ALL'),
('abccef29-879c-4dc6-b962-b43d0cfe856a', 'ALL'),
('2fc6f2ce-0f63-4f1c-85aa-f33a9f66b8dc', 'ALL'),
('329d3608-5e96-4a9c-b106-0b7e224d2e32', 'ALL'),
('287878ad-cf8d-4cc8-a9d5-701bd515b255', 'ALL'),
('e3a5aa4c-c5e7-4f31-83e0-71ec0bd7c666', 'ALL'),
('9c9db8fc-1ee5-44a0-aa48-aa8d0371cba4', 'ALL'),
('fdb9190a-6514-4387-aa87-1ef56c866f19', 'ALL'),
('408b3079-b397-43c7-baa6-0336cd660c0f', 'ALL'),
('f3e96bca-36b4-4fa4-bed1-c70869dfbef4', 'ALL'),
('b05b4675-298a-4866-a6da-9aec08e8ae14', 'ALL'),
('12c9fd63-47ba-4bdf-8eb7-8e90e5d7156f', 'ALL'),
('74807b00-c104-40f0-b537-b660568b436b', 'ALL'),
('36ff20d9-9846-437e-9a01-1086e4f4552b', 'ALL'),
('df393921-6e1c-4d43-a3ad-1001d7fb43cd', 'ALL'),
('6ba998ef-1af7-4e5f-b27e-29be16ec77f4', 'ALL'),
('6741909d-1c70-40fa-8c4d-4b4030d5e218', 'ALL'),
('35d884ed-b57c-44ec-a20c-de93a74b7f95', 'ALL'),
('e69efd1a-c7f6-451c-9ac0-2e34ff4b59c3', 'ALL'),
('2f5263c4-60c2-4c9e-a112-5ac54dc1fbbb', 'ALL'),
('d65e64f3-6636-47c7-b9aa-49b89bae0108', 'ALL'),
('548504be-84b6-43bd-bdbd-91af830e6ad2', 'ALL'),
('17c637c2-bed1-4cc5-a731-1bc93fe60b26', 'ALL'),
('77f25b44-2956-4a78-8acc-a6d34066fb81', 'ALL'),
('8db46675-da5e-4025-a940-d9ea72af8054', 'ALL'),
('ab5bb69f-c2cb-4f66-afac-219e9c07ac76', 'ALL'),
('bf3b8e38-c229-450c-9cc2-056ed0c84822', 'ALL'),
('70e58363-df60-4578-b12c-e20b7f7b4fab', 'ALL'),
('aaa9db39-8873-419a-936a-f208c04ec530', 'ALL'),
('97e84023-7709-4250-a5c3-9fe427e95d74', 'ALL'),
('57900854-3453-4255-8dd2-1796da095e1e', 'ALL'),
('a75255a1-6c23-4627-a45a-c4428320deb4', 'ALL'),
('bd390168-3258-4e0f-b551-2c09b133727b', 'ALL'),
('b225d49b-539f-48be-8d60-5184223f44de', 'ALL'),
('63ea8af5-c139-4588-b1fc-b5afec4cbafe', 'ALL'),
('a3277448-be0e-4dd9-beae-eb84e31621b7', 'ALL'),
('bc79eb21-9586-48fc-af87-1d098b21e7af', 'ALL'),
('71ef3937-b568-4fe9-b41b-412c49f981c8', 'ALL'),
('777ded89-cfdc-4773-a311-784dd05ff741', 'ALL'),
('ace50b79-ad9e-4bb9-87b8-80aca2c9684b', 'ALL'),
('7298122a-b6ce-408e-a3f6-b2e86be93146', 'ALL'),
('0b7a74e1-b6d7-41eb-8fb1-aa729f523112', 'ALL'),
('b0d9f5cf-3dfc-4073-b5f5-1be4e5f40a34', 'ALL'),
('30c63e02-d703-456c-9750-bdf04cffd0eb', 'ALL'),
('a47ed3e0-9d1b-407e-a5b7-53c6e6c070f4', 'ALL'),
('5822227e-2683-4272-a543-da3b9f146f54', 'ALL'),
('91f86424-a8ea-44f6-b0d9-29818ea2619b', 'ALL'),
('fe15af33-2e6f-4e51-9b73-bcb5f696f79e', 'ALL'),
('592e5892-278d-4874-9ba0-5f04c697d65f', 'ALL'),
('71033011-a530-457a-bcf2-dbc8fc4fe4ce', 'ALL'),
('2e43f4b4-dd04-41e2-92a1-6c446cdd853a', 'ALL'),
('4880c516-7fd3-462f-b9c8-f7d0b4431e27', 'ALL'),
('9a25b4fb-9f4d-4aac-9e46-c70e966768d4', 'ALL'),
('90544fed-bfc0-469b-8f75-335a4ea50bc6', 'ALL'),
('aa361093-a00a-49e2-b7d0-85a0033efb96', 'ALL'),
('49df529d-dae1-4af6-aa59-41e052058b8c', 'ALL'),
('7dd7a75f-5630-4743-bdb3-cd008950fd30', 'ALL'),
('87a26241-074e-4c48-8b02-dbc9245e5095', 'ALL'),
('944e8b63-03f3-4522-96b5-4738377e99b9', 'ALL'),
('c30f8b36-99f3-48e1-b751-320d0cae821f', 'ALL'),
('1e2f9a78-6f42-476c-bd10-d619b30a3cc1', 'ALL'),
('c9ce863d-74e6-4413-9d7d-a225a2334d4e', 'ALL'),
('aebd862a-d9aa-43d0-9bc1-a6e5f4e2444c', 'ALL'),
('16cb53d8-2199-4a0e-b554-45c42f301d78', 'ALL'),
('af363371-9f3f-4f63-9784-e1d6e5b4fadc', 'ALL'),
('069f4faf-5d23-4d56-aa53-b38c98f0029c', 'ALL'),
('e8cad7d8-eaa9-4597-a12c-937acfcc88aa', 'ALL'),
('330687dd-69da-44a2-9ee7-20b7fdafbd36', 'ALL'),
('29a77254-3c5c-49f1-82c1-e24308c5a40c', 'ALL'),
('fcbace92-c035-41b4-9bcd-8989e0bc14f3', 'ALL'),
('de7227f3-111a-4024-abba-46bd79a5ea0e', 'ALL'),
('f51af68e-6b6f-4f50-9e96-72e5f30fdcbf', 'ALL'),
('481e59f1-9958-400f-9f32-508806ee6f0d', 'ALL'),
('c1dd055b-fe8a-47a8-8b87-9177f1213d4f', 'ALL'),
('524bf03a-ee3d-4014-baea-724f448d64b0', 'ALL'),
('e1533f61-1200-4ec6-9cc6-faca8379aab9', 'ALL'),
('d969f990-5b1a-481e-b5c2-d164ffe1454e', 'ALL'),
('bf6ecd44-b0a4-4cd7-8d9a-f518b1686c1f', 'ALL'),
('d4839872-cc41-4774-8e53-fe25375d12ca', 'ALL'),
('d849218f-05bf-4005-a279-bdd0801164b2', 'ALL'),
('4b3fea50-b007-4eb8-a04c-32fbedcd81de', 'ALL'),
('5be69a4a-6194-403b-8d1e-32c8ebbff8fd', 'ALL'),
('990ead19-762d-47c6-80ba-89792af26780', 'ALL'),
('a5ee7245-3f44-4d1f-912f-803adfe933c3', 'ALL'),
('9c60d0b8-85a5-430f-aa64-5147bc6ffd3e', 'ALL'),
('d71c61cc-afea-447a-837f-934e373f65b0', 'ALL'),
('8a66c2a1-43be-4d15-aa81-ec3abc70ab47', 'ALL'),
('f220b1c6-80c0-4cf5-9649-d435bc08e854', 'ALL'),
('6b651d13-ead8-405a-ae32-99cb9c7cfa87', 'ALL'),
('86683842-7a6a-4292-8f86-72585879a583', 'ALL'),
('b6e96d48-5211-423a-b2a4-d771e1fde0fd', 'ALL'),
('748d3f6d-7ca0-4879-9039-7162fdeec071', 'ALL'),
('83e8bea8-c08a-4aa7-8ee7-772be47d4f27', 'ALL'),
('eead5ca0-b9b4-4648-8386-f0eec30fef38', 'ALL'),
('f6e401e5-9cd1-48c4-9235-b6b4c412953f', 'ALL'),
('71015da8-a020-4bae-97fd-28f39395b719', 'ALL'),
('77c7dfce-2264-419d-95f5-3372ba78ad6a', 'ALL'),
('56e1af97-4d7d-4bab-9201-303967fa0984', 'ALL'),
('7ad00a1e-6875-47bc-a4e9-f7e9c919a43d', 'ALL'),
('ef9113c3-1043-4eb6-9b3f-7901098efb80', 'ALL'),
('0222c30f-aef7-4da2-b0bd-e29be37ec270', 'ALL'),
('432fb72a-58fd-412d-8ffe-44f254e0f374', 'ALL'),
('54e8546d-13cb-4da3-a939-ee74e9267f3c', 'ALL'),
('8b11a826-0e91-48a8-b73d-821aa67d9397', 'ALL'),
('d96df5a5-1216-4aca-8e2b-82131b99b57c', 'ALL'),
('9c4880c6-77c2-4695-ad9d-e9f3630fe342', 'ALL'),
('3935d0fd-85a1-48e5-ba48-3a28ead57f16', 'ALL'),
('4d9a0b83-25c4-4921-8240-de87f1901db1', 'ALL'),
('45f10e3e-9226-4cd2-92ae-e2245af0a468', 'ALL'),
('b109bf8f-8b06-4808-bbfe-21791ead1d87', 'ALL'),
('67c67e8e-e041-464c-90a4-cf07285951a1', 'ALL'),
('c1a7a8ec-5b49-41cb-bb6f-adeb78b47ad0', 'ALL'),
('ccec63c0-b221-4872-a308-a510dd527f8e', 'ALL'),
('974ff0b9-55eb-4bcc-9325-69897ec4eb95', 'ALL'),
('8ea4fd28-3168-442b-9791-042fa64ece6d', 'ALL'),
('2292a8bc-97a6-443b-a37f-75c532e11500', 'ALL'),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
