('9adf1b16-c17b-4cd1-9e26-dd1dda3fd8dd', 'home'),
('87d6835b-6ad3-4c13-89d0-b2998898f1f0', 'home'),
('fc94f3b0-b0fd-461d-b33b-4a5c57a86b08', 'home'),
('9b62eb48-29a6-429c-909b-82f7d5f28902', 'death'),
('a5ba2d09-d844-487f-a515-25b0abe5b5e2', 'birth'),
('6f9f95a7-22d6-4070-b3f1-f3a3d08c89eb', 'ac'),
('835636e6-16a5-42e6-adc5-09ff07715617', 'company'),
('d0367e38-97d9-4c6c-a33a-3bcde58d9d3d', 'other'),
('9bf6b265-7789-44b5-8d6a-49d93623f13f', 'agricultural'),
('ad8ade2d-c001-4928-a6f4-e380a2f2ea46', 'other'),
('5d2d22fe-fc85-4b25-a716-0cb6753a6edd', 'bi'),
('5a759527-364d-44a2-a6c7-f81a7b18389e', 'death'),
('dfff4ae8-b46d-40b6-ada1-37cfa59a60b2', 'other'),
('6dc20374-2d25-4582-8fb8-e4e274872db2', 'ac'),
('b9e8c5c2-6833-459b-b1e0-fc68b38be4ec', 'personal'),
('c01c5683-14b8-471f-b2d6-e508c8a27b1b', 'other'),
('d157dbd1-8827-43e7-8cf1-2ebc123d60c0', 'home'),
('392d7867-7e6f-4701-a150-bc28e3cd3f6b', 'ac'),
('e00c53f6-977f-4184-891e-93d639f068db', 'health'),
('1e73ad70-2156-40a4-af00-33c3db88fc5d', 'oc'),
('c8417581-7316-4889-a34a-0f29fa972455', 'bi'),
('b0af84f2-df29-43ec-828c-6e29b0a64868', 'ac'),
('d525146f-03bb-4837-b7d3-cc68f454ce9b', 'other'),
('b1dbdc0c-a7ea-4b6f-9368-ee6e7c131201', 'ac'),
('561d5846-6819-4d04-87bd-7bc6b18269a2', 'bi'),
('2c927f6c-2044-49c9-bb3a-4e9805e79e90', 'home'),
('f0fac7ad-e67b-4676-abc1-558c75c1b198', 'oc'),
('4156ef68-6085-4db2-ba20-28355b17e356', 'death'),
('e1511ae2-beba-40e6-8134-cc7e5d83c0f5', 'bi'),
('74f2f60f-34f6-4b5c-8482-51e6f6069111', 'birth'),
('07d097d8-4f14-4baf-ab43-dc1b5f68e36e', 'home'),
('604a1b9e-b0f6-4497-aeec-669152b05a2b', 'personal'),
('462013b6-c350-4652-800a-1e0e763f3e2f', 'birth'),
('f92252db-cb5e-4878-9a50-456f27915f5f', 'other'),
('f0da471b-7b2a-43a9-8662-91fb9ca557c1', 'oc'),
('b9554730-3431-4976-b795-45cff7761c57', 'company'),
('bb87f2c6-ad29-4b4c-b132-d05feff7907b', 'bi'),
('bf701d99-a657-4230-a051-eadd8f14f40f', 'health'),
('bbf7bb51-b3c4-4626-a328-4ea3c03a3e33', 'personal'),
('29e240e6-2ff0-4320-807d-e0868156998e', 'agricultural'),
('8b5ea22b-c2c2-445e-a46a-eb3f8b176bdd', 'personal'),
('2e7d6263-1624-4130-ab92-30712270962e', 'agricultural'),
('6eb6ae8a-5e13-4282-827a-7adbee34a2fb', 'bi'),
('429db198-c18c-44c8-98bc-019ff09d18c8', 'agricultural'),
('5c0c24fb-33bd-4330-a428-2fc21608d66d', 'personal'),
('41aea1b6-1660-4119-bfdb-e89b25bf9bfe', 'personal'),
('3bbe748f-6bf6-4afb-b509-6fefa4adbf23', 'home'),
('7cb1a1cd-5112-4116-9db8-4793f122f9c5', 'oc'),
('8c0f35d0-17fe-4672-a6f5-e4221bf18fcc', 'company'),
('ec3135a5-dbfc-4170-8405-4d35ea0d2c47', 'ac'),
('8d6c059a-e3b5-4813-899a-e7362c02fb8b', 'bi'),
('9aaf5945-df44-4fcc-9f84-31943ff3a33b', 'bi'),
('e4be94c4-bf01-4613-97a8-b0c1e2f8f0be', 'birth'),
('a14e4114-21d4-4ef8-8702-cbd023eb3dd5', 'personal'),
('8a9d78c1-208d-4c22-a9e0-84f15f0e4bc9', 'personal'),
('4d0afd69-853d-4cf8-95cc-4792e1e85a73', 'personal'),
('fdc0d18e-1032-4ee9-9e55-fd0155e77f04', 'health'),
('07f4bbaa-0ad0-4d9d-a178-da731fc9f6a1', 'ac'),
('2121ef52-ea8c-4482-aff1-316dc19ef455', 'bi'),
('decfabac-cbf1-47ab-bea8-9acd37accbf5', 'company'),
('fb42b343-5bd2-4e62-ba61-a267a37cdb80', 'home'),
('c5f5870f-cba2-4f4a-b704-51f0324a6894', 'agricultural'),
('e1348139-63da-4189-95a4-ddae36504148', 'ac'),
('f7e4e58a-a2e1-4084-9673-a00e1463a7ca', 'home'),
('65a516c2-cc8b-4c41-b946-4c9de924e097', 'birth'),
('0cf5d91d-e385-4f33-9b05-b368893f46a1', 'birth'),
('c92d4ae4-d68f-480b-8a17-30a3e1b68a11', 'other'),
('389e4217-f9b1-4811-b2e1-570608f46c7f', 'birth'),
('59721d05-7a13-4a34-ad9a-7a91165953fc', 'health'),
('047b2278-f60d-4f2d-af95-ae9ca5025346', 'company'),
('7b095ca5-d7fa-47f8-a2c8-9125915216b3', 'birth'),
('150d399e-630d-4a54-aff1-a12bfca4905e', 'home'),
('1ef6798b-7024-4153-8c0a-ed58c4c4d3be', 'agricultural'),
('e59d4554-e196-4c83-8d15-b0cdd960d68d', 'bi'),
('6e1e37ee-eff4-44c6-a15c-0ecf3114bdf0', 'bi'),
('35c2b796-4193-46a9-bc48-2cd86fc79f93', 'home'),
('0605f01d-e7d2-4354-875c-612bdb35e85f', 'company'),
('b4e39647-1407-403a-98b8-d86dfd2a95b6', 'company'),
('80ed8a4c-1ee8-4331-949f-53eb848e207f', 'ac'),
('9970ad99-c425-41d2-9fbe-cbc651e09114', 'other'),
('43170f26-8cdc-4836-9589-d58a0f6b2e7e', 'personal'),
('497e22f4-b361-4aba-87f7-c4e81a32086f', 'personal'),
('4751a89e-8ce6-49bd-a7bf-ab300e35a7a6', 'death'),
('675d37cb-b591-4fd4-96c4-e9c441ff37f7', 'personal'),
('7dabbf77-24c4-416c-b309-53df6791de86', 'birth'),
('ec94abd5-07b1-4d20-8805-b5cfa82df4c7', 'bi'),
('13a4595d-abc1-460d-a27c-e4f004bbbceb', 'home'),
('5f6f3db4-fe89-4e90-bc5d-e570495d5007', 'bi'),
('981d2567-2e21-4c30-821c-bb9e9ed3ed72', 'bi'),
('72942e20-a9d2-4f2f-a51f-2c76ed988ad1', 'death'),
('258fd4f6-6fff-4705-bf8f-5d1bc9325ff9', 'ac'),
('70dbe969-7a19-449e-a7c6-997372bafcff', 'birth'),
('a9ea47a1-22d5-4bad-968e-0f1b01dc5b9b', 'home'),
('0529ee57-9659-4005-a5b8-956175125d3d', 'company'),
('0ffe082f-7088-4dc0-b0c6-42feff140d4f', 'agricultural'),
('0f8ce9bd-3266-473f-a2c4-463d532f64f3', 'bi'),
('a8475b05-1230-48b1-904b-9dd55e79e664', 'birth'),
('82b5ad4b-ae4b-46f2-bc50-297a421f9d0b', 'agricultural'),
('8459baad-5944-48e2-bb0c-699b4d6dc93b', 'bi'),
('0e3196a4-4be9-41e6-a1bf-3ace3b4c1625', 'oc'),
('b38cd69b-5465-44cd-a6de-4bb2a3a55d8f', 'personal'),
('663d7b8e-fd5d-4926-abc6-9a8cabaf5111', 'death'),
('55d97b67-39cf-4f81-a2d0-683f2924697e', 'health'),
('560bf7be-ef60-4e17-8194-5ecc6675c6cd', 'bi'),
('ce8f1ed4-42ba-44d7-bf76-b5455bddabb4', 'ac'),
('d7c40101-edc0-44a0-9eef-775362f4743d', 'home'),
('00311d62-2086-4ba0-8b16-64dc7ad9eac3', 'company'),
('09a8a6ca-5f77-44a7-80ed-b25f00e48c88', 'other'),
('e0b7d4e5-0a7c-4ae4-acd6-6e47661a9e13', 'company'),
('1bd7f1db-0adf-488c-b4d5-ff85c1e2b66d', 'company'),
('91a376de-816b-4ee3-a7e9-5343a168df78', 'birth'),
('bdaf4fad-eab2-425c-9124-3e453349b820', 'death'),
('1599dbfa-3563-40d2-8e71-8211102a380b', 'personal'),
('42096baf-e89b-4c02-a346-0817178f55bd', 'personal'),
('9ccacdf0-d50f-4531-bbb2-639fa53a35cd', 'company'),
('fac84897-66df-4f12-9bd2-4c2b53ceaa4c', 'ac'),
('5ff467c3-6b5a-4b15-a351-cfcb76a490b8', 'company'),
('a1b6262d-6425-4a88-96e4-e9587e1c051b', 'ac'),
('06d8ac7d-a4ca-4af8-b101-8794beae22fe', 'health'),
('48108bc7-b5ce-4a87-a8e6-1dcd73ab5f35', 'home'),
('93d60747-ffc9-43bc-9d18-e56e36a6b94e', 'agricultural'),
('01d77b95-f764-469c-9d4d-3ce9573a209c', 'birth'),
('ad221af6-9301-428d-aa6b-21ee6f5db422', 'ac'),
('171baa4a-2dae-47d2-b4cd-9168dce4cde0', 'other'),
('01b50ddf-8931-4636-ae3e-d528b7d28f97', 'oc'),
('6e23efae-cc82-4545-9d21-dda609273885', 'agricultural'),
('867149f9-5b67-478b-ab56-899da5da9013', 'health'),
('0b8f10d9-04ff-4982-8518-995276d62961', 'bi'),
('45c58e19-fe70-4c0f-9930-afa39c3c6e24', 'home'),
('30717c66-ba6f-45da-8a59-1f6c7feeda17', 'health'),
('31829cf9-4f74-4f15-a5b0-b11117f90f2f', 'health'),
('946c42a8-37c5-45b6-a550-99a836f3f5dc', 'health'),
('2b20caf5-e04e-445d-83da-7b871594526a', 'ac'),
('f55299db-5c7d-45bd-a802-1e800817774f', 'other'),
('a524bab0-303d-4313-b766-0a9bbdc398d0', 'health'),
('1e7d54cd-105d-471b-b3bc-2c774ee78ee5', 'ac'),
('b9c6ae6f-f7d5-4568-a87d-ccb64ab90e6d', 'death'),
('b1dbd5ca-882d-4160-ab8b-a06797f20349', 'birth'),
('f7cc423f-58c0-42da-8d11-63dfd19e8437', 'other'),
('a0278c5f-c09f-443c-bb2f-4e299fd7061e', 'oc'),
('d9341f58-4d2e-46c2-b8b0-49d09334f822', 'health'),
('20f68ef0-e312-4f24-a434-ec51d4925959', 'personal'),
('a7b0e540-1fbb-43e7-b5d9-af8a05e3a095', 'birth'),
('0e02c75d-b826-459c-b7d2-45e130548593', 'company'),
('763086dd-cdb7-438f-bd61-376bb056c955', 'bi'),
('a03f7490-9d57-4bf3-a1a1-5126b218ac75', 'health'),
('5792aa5e-d954-4c49-b4d6-d98d811d5a9c', 'bi'),
('75d82142-af4f-4192-a458-4d6535d9899e', 'agricultural'),
('9e176a2e-7955-4dd1-b23c-e738f1b8314e', 'company'),
('20b33b26-550c-4f55-95ed-2511a0c3e2b2', 'home'),
('5ff2b144-7e21-43fc-bba6-8913ce6557ce', 'death'),
('dda5b8cc-2557-40de-935d-7d9e9edc4c13', 'bi'),
('d33fae97-ef14-4d66-ab3b-bdf964de6240', 'home'),
('a2aed3b6-b878-4ed2-a742-b5bf948c56a8', 'birth'),
('e80f1420-b0e3-4a21-96ec-235bfd34e575', 'ac'),
('a07fe970-b859-4169-93fb-069158fb21fb', 'agricultural'),
('1b0b28af-55b1-401d-a243-cc7bb23971fc', 'personal'),
('0eba2903-d5b4-4ea4-a847-220f3512aa07', 'oc'),
('18276713-222f-4b4a-a9e6-a176cc1b8c30', 'other'),
('e146b4eb-9fe2-4fe3-b109-996e384d4eb7', 'bi'),
('015a5a13-1ae8-4635-9709-8aee895c1ef0', 'home'),
('5d7a3d5e-a17c-4f6a-9702-b1c0beda1736', 'ac'),
('bbbb20d6-d819-4046-966a-d0fa8a4cd183', 'ac'),
('cd8f706e-f3a7-461c-ad84-d735e2acc1b9', 'personal'),
('56b85dd5-a866-4f92-9b8d-a9e501506038', 'personal'),
('b6419290-cda1-44f5-b753-c332bc7d1d5c', 'health'),
('14c669b1-2ee5-444e-889b-5495e5026ba1', 'personal'),
('1839285c-0be5-4b79-b090-d59a9424fa18', 'ac'),
('54fcf553-5fd1-4c05-b5bc-f7f9512fc7d3', 'health'),
('e3189f07-4f6b-4a5b-b5b8-4ce0ae476945', 'home'),
('f2124f56-b102-41ab-8f24-9c246e54b29c', 'agricultural'),
('a5f75411-4c17-4712-88e4-2869612c32b6', 'home'),
('545ec032-4c06-4269-b4ae-d36171c72955', 'oc'),
('5736daf9-f09b-4bf9-9a9d-a774a4f90309', 'home'),
('ecda00a2-a21a-4a0b-8f44-cfde1409ddac', 'oc'),
('393e017c-6ed1-40a2-8ee6-028c4bb5cd01', 'oc'),
('f11312dd-d30b-424d-94bb-2a05065cab45', 'death'),
('832edc45-36de-4378-9313-685e1484243d', 'agricultural'),
('22d1dfc5-6a5d-476c-ad22-97c6dfc1b346', 'company'),
('652dce89-120f-4f6f-9b27-0ac62445a3d9', 'health'),
('e908372e-a3ce-4a4d-b288-d4c243b7707e', 'health'),
('7b787e44-fe9a-411f-bbf4-26c4f5bc95db', 'agricultural'),
('b6375b49-9eb3-4304-ae93-e8069cb09707', 'oc'),
('372547cf-05ff-4f9c-966e-e570a2ef72c7', 'other'),
('25dcc286-3a39-4901-8dd8-83e0d6d20db8', 'agricultural'),
('11ec177b-94a5-4d78-b2b6-b1e7da03a33d', 'company'),
('2e8976f3-7e21-4058-aa1a-b2285919853f', 'personal'),
('248aa5df-cb33-472f-a0c9-3df8fb92805a', 'personal'),
('53eb20aa-1d1b-4a32-b86e-49534c340b14', 'death'),
('a2d2cf74-915d-43dc-b0ae-6c43c3c92bcd', 'birth'),
('e772e737-7bd9-42da-9eeb-1084ebd13788', 'other'),
('97aec91e-7677-481a-92b7-9e7ef1f007e6', 'death'),
('5dc9e5dd-7c65-4f64-bc37-70ec19415e77', 'company'),
('88250d86-f17f-4502-b9c6-369bd927642f', 'company'),
('a5d40162-3ba7-4248-99ad-69795cbf7ff3', 'ac'),
('2b04472f-a612-4beb-acf5-e42d13009700', 'company'),
('ecb9c63d-5a00-42a8-895a-9817000d93ed', 'company'),
('9086d537-b273-499d-8756-8bb87088d80d', 'bi'),
('42df00ee-c587-45c6-97ab-934b8bd992ba', 'other'),
('8c054d60-6ad5-4e52-99d0-b6d07c6cceb0', 'home'),
('ba3e969c-b113-41c5-a91c-e9f309c0d585', 'oc'),
('2da508e9-b05e-4e98-8c86-7a102b70350d', 'oc'),
('196e9d38-4997-42fb-96b8-6ac6851ef607', 'personal'),
('c0f7aaf7-25b5-4ad0-be0c-f7ffd04672b9', 'ac'),
('8a16d2b8-fcc3-4802-bdb0-11e6801e2696', 'health'),
('c13a40d7-c4c5-4aa7-893c-f2c4e6996ce3', 'birth'),
('14cf6efb-1be5-45b7-8c21-59708a3f65cf', 'company'),
('2b15cc1c-aa3d-4fd8-b0b1-8037defb8ee2', 'oc'),
('6740f3dc-96ec-44f2-ab65-608769547904', 'agricultural'),
('96767987-58ef-4c1e-a1b0-f8462a97a761', 'bi'),
('5aabc4ae-5925-4775-b294-81d87c188fc2', 'home'),
('8b192427-7ae1-4362-a220-03d914073ae9', 'death'),
('97553c08-3c16-4c9f-a38c-22719120d96a', 'death'),
('12040ff3-be16-4748-8bed-6cad2da057c9', 'home'),
('4349a9d2-686a-470e-815f-ec02e5401c5f', 'home'),
('a7e9f405-3cdf-426d-bf5c-9af940b08113', 'death'),
('3a6759f9-b9d9-44c6-9757-a25d73df35d8', 'ac'),
('34315934-f8bc-49fc-abd3-94a8f95a8670', 'death'),
('958676b5-eae0-4816-93d1-73b931cc5ce9', 'other'),
('3da671e2-ada3-4239-bcb6-9efd2b3cb9d7', 'ac'),
('00e7e22c-58cb-4483-a246-3244015fe047', 'company'),
('1e25e4a9-8a3e-4076-99eb-603e2b847c59', 'ac'),
('23087702-36fb-447b-8126-b5d2cd835fd4', 'health'),
('68729afd-5f4d-4130-813d-ca93483f3816', 'other'),
('4e037cfe-3251-4641-acbf-5b05ae19e013', 'health'),
('affd3ee0-f4ca-4936-9d02-9f948395fde7', 'birth'),
('33c1457b-752d-438b-afd6-2b8671cd9bb9', 'oc'),
('cb1c64b4-56f7-4333-b3a6-1b6702859609', 'bi'),
('febafaea-b496-4fcb-9fb6-faf39ba4fb3a', 'death'),
('eea85353-9745-4bc4-af11-188de5b42bf1', 'personal'),
('d82f3ba0-90d2-4d6a-96a9-0cf56b2cf6d6', 'agricultural'),
('e1b7443e-021c-4572-8cc3-8eedd1d268e4', 'birth'),
('2d471ff2-ca8c-42c9-b1e6-45101f16c2db', 'personal'),
('5ee8930c-1bdd-4ae8-a975-8343a27651c1', 'ac'),
('f72a5785-548d-4eca-9612-558b23a2d369', 'birth'),
('2d304aa9-3d79-42fe-a915-9f494488ed64', 'agricultural'),
('f8df8990-bce1-4b9d-9f7d-9d9304f8e2d4', 'other'),
('8e89c2c1-4820-410b-9a91-9e2cad63206b', 'ac'),
('94ea2e21-07b2-41d3-a72d-517d5e9a4158', 'company'),
('3ea15dc8-94c5-4995-9d82-f7eaad47264b', 'agricultural'),
('3b993539-f19f-4710-8c63-1189d4ab18bb', 'ac'),
('529f5266-eff1-4914-9e15-cdbea03245fd', 'home'),
('92e88627-d280-4891-a2ed-3808246c1a1e', 'death'),
('63bee29a-ec5d-436d-ae10-632f440fe4df', 'birth'),
('d645a87d-e863-4e07-afc8-0b7886b630a0', 'personal'),
('82d8e090-45f3-4593-a68a-2fd059ff926a', 'birth'),
('29258434-6f0f-43be-b88f-a24bddbe5db3', 'personal'),
('2bed856c-38fa-44a8-9865-2fa160ab99f9', 'other'),
('351a319d-3da5-4a43-91e1-74ef23563f4b', 'company'),
('062935aa-9ed2-401c-ab80-385fd9efbb70', 'personal'),
('3b148e11-2f4b-418c-8a1d-2847dd3004e7', 'death'),
('3ac0d44a-2aad-4cd9-b4f7-cddc6f50e3a4', 'company'),
('ce0b2be5-b73f-46f2-8ae9-5ef51e5ad06a', 'ac'),
('a898bade-03d2-488c-8aa3-4439385fcfe0', 'agricultural'),
('d9f3a6bc-df9c-4d42-8618-2ddf4bbc8412', 'agricultural'),
('5cf80f70-952f-4415-a47b-88c2bd65a3b2', 'ac'),
('8ad99aca-10b0-4895-8bbe-5a5c61830ae4', 'agricultural'),
('7feeab59-7707-4364-bb50-f988c7829ea4', 'other'),
('631adcc0-a129-43c8-bbb1-6232c9f7c52e', 'bi'),
('509b78a8-3146-4317-9d37-f10658acb6ba', 'oc'),
('fbbc03aa-621d-4cb8-b508-00be92f1833d', 'birth'),
('7bfc5c54-ce9c-474c-abca-92b29246c490', 'company'),
('de18454f-977c-4281-b724-945ca4422f3d', 'other'),
('08a77003-ea19-40c7-94ed-493e7f5eaba7', 'other'),
('a73c6343-f8bd-43eb-b8a5-e042f9325f7d', 'oc'),
('44bfd847-df34-4f5c-8d24-5a311930682a', 'personal'),
('bfcd5017-4287-4a0b-a436-a81a2974c53e', 'company'),
('cbc83aca-de60-4bab-bf15-acbf273298fe', 'death'),
('bc10a499-b508-400b-b83b-cd813c542ffd', 'home'),
('b3f22ca3-8f6e-486c-a6d7-0dcf22b9f6b4', 'agricultural'),
('cdf3a0ff-f2f7-49b1-8830-8045a6c89671', 'death'),
('c22e4e1b-aee9-4d47-a6df-a5a02f14a1b2', 'agricultural'),
('000c1d93-10b4-4fd0-a8fc-466d56558d8f', 'agricultural'),
('fb361694-2778-40e9-8e8e-610a76dceaf6', 'death'),
('5c99118c-3bd7-4759-9809-86d59c04498b', 'birth'),
('50a88a6e-dc47-46a0-bf77-9e28b9ab55c4', 'other'),
('cf711675-d136-4936-b2d6-69f60756aa03', 'company'),
('fa35a61b-bf26-4c13-9c35-008ca28e3517', 'home'),
('8879f056-d2f9-480d-9934-fda35214da05', 'home'),
('2ed96a79-8491-4293-9893-911fdac9e993', 'bi'),
('80523f12-3ab5-4c17-99fd-8bda52a3783b', 'home'),
('0ddc4452-3c24-465b-bffd-24c47f966588', 'other'),
('8c895454-a6c1-4511-a40d-2dd85c23b29a', 'personal'),
('7e1b8dd2-c74a-4146-a018-419049967a72', 'personal'),
('2fadde5d-f841-4f16-806e-9a8ae0e510e0', 'agricultural'),
('af94ed68-ff18-4f9b-b8c1-99eaaaa79c65', 'bi'),
('e754f461-efab-455d-ae95-3651042082c7', 'birth'),
('69c5956c-c1bb-43e0-b88e-219fcedfe7ad', 'other'),
('67941cb7-3c59-43a0-a789-9a61b458fd36', 'health'),
('c64bf776-d269-4b62-9d70-131ed5bbdf96', 'company'),
('995c190a-a01a-4e71-bbe9-e2c0edad2be9', 'agricultural'),
('54dd811d-ba90-4ccb-bb6c-942cfe31550d', 'ac'),
('1b105baa-01cb-4df2-a7ce-cbdb3a831bf0', 'company'),
('a99b089f-d8ec-4198-8768-c42522920e91', 'oc'),
('ee61e99b-3951-46b5-92a2-493dc74cabe9', 'personal'),
('22398940-1126-4ab8-87e2-8cc6639a7760', 'home'),
('4f9b88b9-e2ad-4f7f-816b-2a3a9d26eb74', 'agricultural'),
('12845dbb-cc09-450c-93fb-a09e0161d599', 'company'),
('153241b7-76da-4d8c-85b9-f71073fbd135', 'oc'),
('72236fca-e5db-4ed5-8ff3-3abb99c505f2', 'agricultural'),
('52147633-c55b-48f9-8b98-4e5212bd10cf', 'agricultural'),
('6f3af643-3122-4415-b92d-93a8750616ca', 'company'),
('10d5116a-ea75-4d3c-9aee-c741ee57cb21', 'personal'),
('1a92438c-d255-4140-b344-d1c389be446f', 'personal'),
('b031be76-7f3a-447c-9747-be069748ebdc', 'birth'),
('3b732717-7116-403f-989e-3ccd56393a16', 'death'),
('1345ba17-8054-407b-a7a1-c5bd8d946557', 'death'),
('b07ade85-924b-406f-a504-13ace6503dca', 'ac'),
('33b7afd0-d622-42f6-9008-dafb0eabe4ce', 'company'),
('1e7a2574-69bb-445c-991d-4b9b34027960', 'agricultural'),
('ddf5b4e2-ad16-4f08-a359-8cc943e7a34e', 'company'),
('36ac6b8b-3b93-48f7-b3ec-6eca036f2385', 'oc'),
('72066243-4db4-4400-8ab6-f9985e5e5036', 'bi'),
('1c5bd721-5104-4335-8441-a3c228d0460d', 'bi'),
('9a34d1a4-744a-402e-9eed-beffb57a6d22', 'personal'),
('e6ead4fb-e5a5-4a82-84d1-974623e813d4', 'ac'),
('6f13a4d5-7912-45d1-8152-de5050844c55', 'ac'),
('31a83982-0806-4557-85fe-5ddda0b8704f', 'company'),
('8d0a68db-bada-41c5-94e3-1c71f5ac4988', 'personal'),
('9ffa2ce8-2274-4624-a75b-be98852a11f5', 'agricultural'),
('09d2d988-90f4-4cfc-bf73-defdd8c4f603', 'agricultural'),
('b32bcc6c-7ed7-488a-9aa1-128bf12b1f48', 'death'),
('3cfaa8c1-a74e-4518-aba1-41959757823d', 'oc'),
('4c2063e8-3180-4b95-b85b-24f40955e1ce', 'death'),
('77244b59-6b49-4f39-96c1-305e41d94b1d', 'bi'),
('4b670458-0d25-4b01-abd5-2ed8779b0725', 'health'),
('8ab040e2-de13-412d-b1d0-937fcfb305b3', 'bi'),
('7e439258-cd25-4f8e-b5e8-a78177146811', 'other'),
('0b4f8440-1d76-4e15-b8af-354f5ba49c1f', 'home'),
('6c5d1f52-7f20-44f3-8c56-42bc4871dd67', 'ac'),
('9839b19e-3afc-44b7-8f12-4f6437f4c68d', 'birth'),
('df2e7e63-1791-4a98-ac5e-12c4ba341949', 'health'),
('b6d7af74-7aa5-42e0-a2ae-2358df117d22', 'birth'),
('9dc184b5-2e75-46c9-b946-57e41f481135', 'home'),
('a39cfec2-7e51-4e8f-a81b-a3a8e2f8535f', 'company'),
('df4cb7b6-8982-4097-a8cb-48bdb2759baa', 'health'),
('961e1bcc-8108-44ed-a70f-4d48c5fe3651', 'company'),
('a804a16c-e6d2-4d82-ad68-9757b5a5663f', 'home'),
('e24bbdf3-5a07-455f-823d-0d98ebf2591b', 'home'),
('0bbd8a2b-3461-4914-90fd-c84743ea4f34', 'death'),
('65f75323-11af-456b-9b33-84ef573eae76', 'bi'),
('3b61830a-82db-442f-8761-6b33e0e82e35', 'home'),
('0f1d5e8a-3751-4406-acce-b96b8236dc88', 'health'),
('f64c123c-b719-475d-a287-425323427729', 'health'),
('b748eb88-7447-4619-a9bf-ada04325d2fd', 'ac'),
('390db775-3761-4b93-96e4-162491e5aca2', 'death'),
('afa668c6-e912-443f-bbdd-738836268455', 'ac'),
('a06eada3-bca7-4d74-a9b6-e49796cd65c4', 'birth'),
('7a4a2b9d-41e7-42b2-bb9c-9d37eae06c6c', 'health'),
('63b75cae-ba12-4360-872a-2a02e33e3385', 'bi'),
('092520ad-0cb6-47e9-b6fe-89318c23914d', 'agricultural'),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
(nan, nan),
