('70-201-1874', False),
('81-225-5126', False),
('62-804-9120', False),
('77-221-0725', True),
('40-244-5638', True),
('83-106-8591', False),
('40-474-1517', True),
('61-978-3615', False),
('07-054-5912', True),
('19-744-5390', True),
('53-643-0745', True),
('69-526-3471', False),
('91-205-7148', False),
('61-435-4509', True),
('86-601-0495', False),
('28-728-0300', True),
('91-615-5786', True),
('46-152-8697', True),
('95-408-6961', False),
('13-445-5228', False),
('01-552-8160', True),
('59-425-0213', False),
('44-377-9599', True),
('55-922-2829', False),
('45-537-0746', False),
('76-425-4816', False),
('47-964-7668', False),
('33-604-2469', True),
('41-732-1094', True),
('22-771-5005', True),
('80-187-0804', True),
('66-890-6887', False),
('52-038-5307', True),
('51-064-4129', True),
('56-876-0053', False),
('13-941-5142', True),
('44-922-4177', True),
('72-212-6526', True),
('65-131-0866', True),
('97-725-6176', False),
('98-325-8901', True),
('91-863-7737', True),
('30-225-8467', False),
('75-377-7190', True),
('96-464-5764', True),
('09-833-2105', True),
('73-106-4319', True),
('18-277-3965', True),
('31-410-0936', True),
('86-090-5469', True),
('73-897-7101', True),
('74-966-5531', False),
('85-801-6791', False),
('62-092-4912', True),
('88-095-2650', False),
('72-125-9859', False),
('45-110-4467', False),
('95-282-3451', True),
('73-521-4798', False),
('67-948-5854', True),
('18-575-4172', True),
('11-365-9103', False),
('99-146-9419', False),
('01-281-4854', True),
('94-629-4468', False),
('42-597-5734', True),
('84-344-6643', True),
('55-616-3747', True),
('95-068-7877', False),
('62-506-8802', True),
('04-186-9169', True),
('47-638-3689', True),
('92-390-9493', True),
('53-968-7129', True),
('01-598-8863', False),
('39-101-5690', False),
('63-396-9831', True),
('60-962-0842', True),
('65-454-5669', True),
('81-654-3729', False),
('50-659-5247', False),
('82-564-3375', False),
('50-954-3540', True),
('14-780-4688', True),
('64-135-9911', True),
('36-978-0723', True),
('81-020-8432', False),
('07-946-7870', True),
('88-279-9332', True),
('33-389-3366', False),
('16-698-5470', True),
('00-213-0893', True),
('19-300-7639', True),
('82-324-4209', False),
('23-480-7008', False),
('06-870-9028', True),
('73-765-3431', True),
('46-340-5335', False),
('78-121-2422', False),
('26-471-8383', False),
('85-678-0629', False),
('89-565-5024', True),
('61-116-2398', True),
('61-860-4251', True),
('84-964-0175', False),
('00-185-7600', False),
('42-123-7586', False),
('24-228-1044', False),
('55-882-4877', True),
('54-667-1540', True),
('73-432-3788', True),
('94-419-0516', False),
('81-475-9659', False),
('66-370-8849', True),
('55-407-4062', True),
('27-840-8662', False),
('40-345-9458', False),
('70-344-3762', False),
('34-197-6796', True),
('70-294-7016', False),
('65-543-5449', True),
('98-251-5808', True),
('83-142-5725', False),
('26-919-2153', False),
('76-730-5467', True),
('52-137-0912', True),
('20-785-5137', False),
('90-544-1141', True),
('81-503-2295', False),
('84-866-3189', True),
('45-807-5483', True),
('37-779-3487', True),
('04-250-0202', False),
('43-036-8729', False),
('49-115-8605', True),
('32-298-3005', True),
('43-791-2475', True),
('58-650-5297', True),
('84-983-5944', True),
('53-509-6238', True),
('47-449-8471', True),
('32-621-5508', False),
('39-061-4095', True),
('43-772-2193', False),
('81-593-1031', False),
('46-383-2675', False),
('05-764-6387', True),
('11-758-6350', True),
('96-740-7838', True),
('94-281-8160', True),
('24-411-5740', False),
('24-173-8354', True),
('33-626-1775', False),
('12-769-5085', True),
('23-076-2514', True),
('85-473-3688', True),
('24-690-1630', False),
('72-555-4822', True),
('20-148-3063', True),
('27-539-4998', False),
('55-268-8016', False),
('87-614-8072', True),
('92-321-5726', True),
('88-220-6571', True),
('74-609-4462', True),
('49-297-2489', False),
('29-392-9140', False),
('95-818-3024', True),
('06-961-8284', False),
('60-080-2059', False),
('99-169-6822', False),
('41-135-7405', False),
('26-048-6494', False),
('07-441-1886', True),
('55-147-7533', False),
('69-847-8614', True),
('22-266-9951', False),
('38-410-3690', False),
('38-603-6175', False),
('03-281-0978', True),
('67-112-0605', False),
('82-951-4444', False),
('60-707-8694', True),
('04-756-8585', False),
('54-269-6176', False),
