('9187302b-91f6-45f5-91db-f408e2ff43ae', 53.8249945, 22.3619798, 'Poland', 'Olsztyn', '19-305', 'Street', 'Mallory', 30, 57),
('61764268-3f30-4e49-af25-eb84473d3158', 52.4817381, 18.3311713, 'Poland', 'Kraków', '62-560', 'Trail', 'Debra', 5, 14),
('a684c489-f040-4f7f-ba2c-2c7840b5043f', 50.9524702, 20.4081061, 'Poland', 'Poznañ', '26-067', 'Court', 'Oakridge', 23, 9),
('ca4789cc-4def-4a94-a1c9-71489952fe46', 50.4333399, 16.2304168, 'Poland', 'Wroc³aw', '75-136', 'Junction', 'Trailsway', 43, 25),
('3bd91001-3797-4aa3-a697-e057b63ea77d', 52.6254174, 21.0235972, 'Poland', 'Opole', '06-121', 'Crossing', 'Parkside', 80, 21),
('b4655a8e-0314-4a71-ac8a-079ea078526b', 53.3194376, 18.212466, 'Poland', 'Toruñ', '86-120', 'Parkway', 'Fuller', 9, 7),
('5086a8b0-5bbf-418f-8ad2-8c4d25484bd7', 51.8925044, 18.4962253, 'Poland', 'Szczecin', '62-704', 'Plaza', 'Moulton', 48, 48),
('47aa4530-0879-4315-a5e2-23220d79e9c7', 50.0142619, 20.096687, 'Poland', 'Poznañ', '32-020', 'Drive', 'Manufacturers', 20, 10),
('05820dd2-54af-4c5b-a2ea-0fcdf4bfe8c1', 50.8441485, 17.7283013, 'Poland', 'Olsztyn', '46-090', 'Circle', 'Kings', 1, 43),
('08bfe354-c2a5-4fb4-897a-a9094a4a49d1', 49.4715988, 22.4496086, 'Poland', 'Kielce', '38-722', 'Pass', 'Elka', 73, 9),
('d925c660-b1d8-409f-8ae6-264af42e66be', 53.0172422, 19.6212916, 'Poland', 'Warszawa', '87-510', 'Road', 'Anzinger', 39, 29),
('20fdbe0b-0f66-4acd-9516-2cd077193281', 50.8866749, 21.2296066, 'Poland', 'Bia³ystok', '27-425', 'Drive', 'Holmberg', 36, 38),
('0fe74038-75c0-4e20-a110-9c71fa8e8874', 50.3142814, 18.9285154, 'Poland', 'Wroc³aw', '41-608', 'Terrace', 'Westerfield', 6, 9),
('b910ac40-2e26-4fa0-8f51-b1cd6db6135f', 50.0919002, 21.3924958, 'Poland', 'Szczecin', '39-204', 'Pass', 'Miller', 44, 52),
('9bb1c1bb-7a5a-4d5d-86e9-6f6a8ccdccb8', 51.1501056, 21.0487361, 'Poland', 'Gdañsk', '27-220', 'Place', 'Nobel', 44, 7),
('2856af4a-ea02-4136-ad85-b869512534df', 50.0398933, 19.7289065, 'Poland', 'Kielce', '32-060', 'Trail', 'Schmedeman', 80, 9),
('b3ec5659-c165-4da7-9db4-2751b0b93887', 52.2861138, 20.8081804, 'Poland', 'Zielona Góra', '05-080', 'Way', 'Walton', 12, 23),
('3086c068-3472-4c92-830a-92df60284114', 52.4262274, 17.4890829, 'Poland', '£ódŸ', '62-250', 'Alley', 'Elmside', 60, 27),
('4e3787bc-7579-4fc0-9346-be701e4cab24', 49.9776657, 20.9421091, 'Poland', 'Lublin', '33-111', 'Point', 'Charing Cross', 15, 39),
('3074501a-465b-45e7-a03d-c6e16547fe1e', 51.7597721, 17.1196937, 'Poland', 'Poznañ', '63-830', 'Place', 'Morrow', 25, 38),
('39008d1c-03f6-4452-8693-35234736cdd1', 54.0471273, 19.2012887, 'Poland', 'Sosnowiec', '82-220', 'Court', 'Westerfield', 71, 21),
('2c69ab0a-ab69-48e0-9f15-a59292f883ea', 51.3307349, 19.1136024, 'Poland', 'Szczecin', '97-420', 'Junction', 'Waywood', 31, 55),
('6dcb8cfd-2a3d-4614-a4f8-c553bd3cd44b', 52.579839, 19.6295361, 'Poland', 'Sosnowiec', '09-412', 'Plaza', 'Manufacturers', 56, 36),
('140e3f68-55b0-4e45-bc1d-f4eccbc5ed06', 49.7524226, 20.1868688, 'Poland', 'Toruñ', '34-625', 'Avenue', 'Burning Wood', 33, 24),
('159070c9-4192-4f43-a947-65999b7e981d', 53.2622714, 17.2557665, 'Poland', 'Bydgoszcz', '89-310', 'Park', 'Steensland', 50, 60),
('4d58c264-d35f-4e60-a158-57bb1c1e7619', 53.5279846, 14.5886573, 'Poland', 'Gdañsk', '71-899', 'Way', 'Victoria', 16, 21),
('92abade5-48e8-43b9-a8d8-eba8ea27ccfb', 50.4251949, 19.300593, 'Poland', 'Bydgoszcz', '15-337', 'Alley', 'Crescent Oaks', 60, 36),
('3bc50a44-915b-4c68-93e6-d0baa3eab925', 52.5005848, 22.3071086, 'Poland', 'Olsztyn', '08-331', 'Street', 'Dorton', 16, 19),
('9d2397e5-8cea-44e2-a792-796061fd86e9', 51.8978017, 19.9416859, 'Poland', 'Zielona Góra', '96-127', 'Park', 'Longview', 48, 39),
('162eabe4-df88-4d81-9729-df7c061d1d1a', 54.11538, 20.1302301, 'Poland', 'Gdañsk', '11-130', 'Point', 'Commercial', 19, 57),
('4b6d1428-da5c-4f46-bf98-8db6971332b1', 49.6302491, 20.6635214, 'Poland', 'Bydgoszcz', '33-395', 'Junction', 'Westridge', 73, 34),
('11a09eae-66f3-4b12-a6ed-484ba5f65ce2', 50.3657373, 20.8874542, 'Poland', 'Gdañsk', '28-131', 'Plaza', 'Vera', 60, 4),
('b5082e82-3af9-4f47-bbc2-6cf20d561bab', 50.8062039, 17.8834957, 'Poland', 'Lublin', '46-082', 'Alley', 'Armistice', 2, 24),
('9861aca3-3b00-40f7-a9aa-caea9253802f', 52.0122717, 22.5207958, 'Poland', 'Wroc³aw', '21-404', 'Park', 'Northview', 41, 25),
('3317fbde-dfc7-4fd4-b583-bcd76c87c7aa', 51.2701042, 16.7076821, 'Poland', 'Warszawa', '56-122', 'Place', 'Namekagon', 28, 12),
('f9d7d8b8-eb13-432a-95ed-f0204f72da3d', 50.3651987, 20.3520979, 'Poland', 'Toruñ', '28-440', 'Place', 'Coleman', 58, 5),
('20ce13a3-7f5e-4ce8-ba06-692c4eea88b0', 49.788203, 19.70598, 'Poland', 'Kraków', '34-211', 'Drive', 'Talmadge', 70, 35),
('589b3751-6c9f-4841-a58a-cb673bd94aec', 49.8162832, 19.3295966, 'Poland', 'Poznañ', '32-652', 'Road', 'Pond', 78, 32),
('c4980e14-ac23-4f2c-9c86-c3c71b9c3311', 49.8296261, 21.7407302, 'Poland', 'Bydgoszcz', '38-123', 'Hill', 'Packers', 29, 45),
('1b35575a-29d4-4b2e-a941-e24d7ab652ac', 52.6446193, 19.0339855, 'Poland', 'Kielce', '87-822', 'Center', 'Havey', 7, 48),
('ef64745d-3c80-4625-9680-8c7b568fcb3f', 53.996769, 19.698964, 'Poland', 'Olsztyn', '14-401', 'Lane', 'Eagan', 5, 8),
('bb876adf-3b80-4e51-8753-9f686885a45e', 52.1155638, 16.3514938, 'Poland', 'Gdañsk', '64-050', 'Avenue', 'Towne', 25, 58),
('5585a2a2-9aba-4a89-9556-7eb18dfe1a23', 51.36499, 17.46841, 'Poland', 'Szczecin', '56-416', 'Road', 'Mifflin', 33, 23),
('97465272-39b6-4307-971d-6e0105a8e581', 51.718833, 19.1490758, 'Poland', 'Szczecin', '98-105', 'Avenue', 'Longview', 65, 44),
('3d9254be-0500-4e1b-bad5-d3f380dc137a', 53.63918, 15.62129, 'Poland', 'Opole', '73-150', 'Drive', 'Fairview', 17, 11),
('160c9337-6045-45a5-87e4-a37f78e6495d', 53.1580196, 18.1549367, 'Poland', 'Warszawa', '86-055', 'Way', 'Grover', 6, 54),
('296b0ec9-f010-48c6-9ce3-5584521112f4', 49.8167342, 20.5901226, 'Poland', 'Kielce', '32-861', 'Trail', 'Lakewood', 73, 32),
('edd2ba20-d7b3-4419-bca1-fec33eb5ab31', 49.9636769, 18.7713574, 'Poland', 'Lublin', '43-245', 'Point', 'Marquette', 26, 43),
('f63cea0d-74bb-4036-9669-83f50ff2efd7', 49.5395711, 18.8708641, 'Poland', 'Zielona Góra', '43-476', 'Hill', 'Farwell', 73, 5),
('d4a26d31-b346-4db7-9d9d-773fe587e02f', 49.4395013, 20.5190522, 'Poland', 'Kraków', '34-460', 'Drive', 'Judy', 18, 47),
('27bc335b-ff2e-45e1-9941-45e02a6d4bb1', 51.758626, 19.3010614, 'Poland', 'Poznañ', '95-050', 'Terrace', 'Eagan', 71, 25),
('a339d8ae-f6a7-4be2-ab16-3b600f9a0cd2', 52.5363656, 19.7751366, 'Poland', 'Toruñ', '09-410', 'Court', 'Thackeray', 20, 48),
('34a1a927-3370-426b-b6c6-32fabbbc0ee2', 52.3119225, 19.0849647, 'Poland', 'Lublin', '99-352', 'Plaza', 'Fulton', 18, 29),
('0dbb0805-4795-424c-8790-c05fd6de4f0b', 53.46687, 15.33337, 'Poland', 'Lublin', '73-120', 'Trail', 'Maple Wood', 6, 40),
('bbbf60b9-ae46-4a2e-ba98-81a22cec0467', 51.2250373, 22.7850797, 'Poland', 'Poznañ', '21-007', 'Point', 'Cherokee', 46, 41),
('50547506-f800-447b-935d-c99721f5a75d', 50.0028883, 21.8964008, 'Poland', 'Gdañsk', '36-047', 'Hill', 'Sunfield', 43, 40),
('a94574cc-b041-4db9-9d33-e6a87fd2b1f5', 50.5699572, 17.1493818, 'Poland', 'Poznañ', '48-388', 'Road', 'Vermont', 47, 31),
('ae50a37b-6520-45ad-8c2c-1886e590e008', 52.43843, 17.77321, 'Poland', 'Warszawa', '62-230', 'Hill', 'Sachtjen', 46, 26),
('0e5b1f26-51ad-46c0-9a36-8c24c9e9e923', 51.961354, 21.97131, 'Poland', 'Kraków', '21-450', 'Hill', 'Kings', 19, 55),
('845a1be8-f4f4-4d20-b35d-7319c2da2b2e', 52.1660441, 16.4612356, 'Poland', 'Bydgoszcz', '64-061', 'Trail', 'Prairie Rose', 11, 54),
('998093e5-1547-49a6-a8cb-fb48f2e9747d', 50.222479, 19.772052, 'Poland', 'Kielce', '32-082', 'Crossing', 'Garrison', 23, 4),
('5a2117e5-7103-4c38-b4b8-2c85e2545f6b', 51.4270935, 21.3306176, 'Poland', 'Bia³ystok', '26-630', 'Trail', 'Evergreen', 16, 31),
('77c3b9d4-efff-46d8-80e1-8358441d6513', 51.7565958, 20.9183286, 'Poland', 'Opole', '24-340', 'Junction', 'Sheridan', 41, 59),
('2cef6811-5926-4e2f-a9e9-a2fa2b2f4e05', 53.1179087, 17.2873137, 'Poland', 'Zielona Góra', '75-571', 'Drive', 'Pierstorff', 20, 19),
('b9a00fb3-9f3f-4d44-96aa-852c39b506c9', 50.2308874, 22.3984964, 'Poland', 'Szczecin', '40-401', 'Terrace', 'Randy', 33, 20),
('97491a4e-9527-437d-849d-b5512acba047', 49.67403, 20.07982, 'Poland', 'Sosnowiec', '34-730', 'Place', 'Westerfield', 71, 45),
('94e81519-ddc0-4b28-99c0-20fa37a8c743', 50.0751569, 20.4549189, 'Poland', 'Opole', '32-708', 'Drive', 'Melrose', 21, 48),
('c214a3d3-1d54-4018-8e99-c7fa8198c6fe', 52.87728, 15.52966, 'Poland', '£ódŸ', '66-500', 'Alley', 'Dwight', 16, 37),
('4a8a5bb2-e3e0-4c58-a791-5cdfc65897d9', 49.6163992, 19.3518952, 'Poland', 'Sosnowiec', '60-116', 'Lane', '1st', 73, 20),
('82f0de7f-805e-4df7-9621-e238ff0dda64', 52.55694, 17.0351289, 'Poland', 'Kielce', '62-096', 'Center', 'Lerdahl', 73, 5),
('7f344fe9-8595-4242-af70-b96fcdb24359', 52.959496, 21.0954627, 'Poland', '£ódŸ', '06-210', 'Pass', 'Shopko', 12, 8),
('9c40eaaf-8ec3-4ed9-b3ef-afcdaefa8e5f', 54.3786241, 17.1607682, 'Poland', 'Bia³ystok', '76-248', 'Alley', 'Waywood', 76, 38),
('a429a2e2-3bd1-4e98-9c84-12b33095cabb', 53.3798073, 15.2481385, 'Poland', 'Gdañsk', '73-121', 'Lane', 'Coleman', 63, 38),
('c5e707cb-4ecf-47ca-a62a-a8cb8c9babb0', 51.4695254, 22.9549933, 'Poland', 'Opole', '21-109', 'Terrace', 'Oneill', 14, 39),
('68faa0aa-1c89-4b10-997a-fd644d2fbd96', 54.11538, 20.1302301, 'Poland', 'Sosnowiec', '11-130', 'Lane', 'Ridgeview', 4, 40),
('98f1913c-c560-40a3-9cc7-133c2e3e3ff2', 51.8948456, 15.4110348, 'Poland', 'Zielona Góra', '66-008', 'Center', 'Rigney', 28, 44),
('79c3acf6-f51b-4271-8485-8b99c578366a', 51.3009866, 16.9148091, 'Poland', 'Poznañ', '55-120', 'Way', 'Butternut', 26, 18),
('3e8e8ea6-e209-4fcb-aa85-741675b85404', 53.6808257, 16.9312789, 'Poland', 'Poznañ', '77-330', 'Park', 'Clove', 73, 57),
('1a4cffe5-fd36-4d68-bdf3-596a61f805e6', 53.175543, 21.296838, 'Poland', 'Olsztyn', '06-320', 'Alley', 'Carioca', 9, 25),
('bb84b8c4-cd5e-44a9-9852-8c7bd0a02a47', 50.8677076, 19.2061348, 'Poland', 'Sosnowiec', '42-242', 'Point', 'Roxbury', 1, 6),
('2cb0bdaf-0bd4-4d39-bd15-25d036cb6815', 49.917089, 19.468167, 'Poland', 'Kielce', '34-105', 'Parkway', 'Farwell', 49, 8),
('6c443960-f337-4804-bddf-e3d1e2121a53', 50.7592361, 17.6835478, 'Poland', 'Kraków', '49-345', 'Park', 'Del Mar', 5, 52),
('c7f18eb6-0589-435f-96de-811f257c5d97', 50.0413118, 19.2000652, 'Poland', 'Olsztyn', '32-610', 'Court', 'Mccormick', 79, 32),
('8eac8cec-ec19-4d60-a2a7-862dc43f24ae', 53.918411, 19.7442821, 'Poland', 'Kielce', '14-330', 'Place', 'Eagle Crest', 24, 3),
('1b9f560d-9616-475d-9ba2-f2ced29f85c9', 51.7111719, 17.993399, 'Poland', 'Toruñ', '63-460', 'Lane', 'Fisk', 33, 40),
('a6eb3777-c363-464b-8a89-4ff293de7edc', 53.068264, 16.136353, 'Poland', 'Katowice', '32-541', 'Park', 'Novick', 28, 41),
('bad2db4d-9a24-4810-b513-e781c105cd55', 53.0815746, 15.4900234, 'Poland', 'Bia³ystok', '73-231', 'Street', 'Marquette', 48, 11),
('005a8e7d-5889-4a69-8513-d03bafae0200', 50.7338713, 16.0708309, 'Poland', 'Szczecin', '58-405', 'Court', 'Westridge', 36, 22),
('c817efa3-1a0c-4736-a862-dda1ae0607be', 50.401499, 20.1667579, 'Poland', 'Kielce', '32-087', 'Alley', 'Dakota', 56, 40),
('4f1f74f4-271c-454c-809b-f3d2a3d47aa9', 50.6906104, 18.5510673, 'Poland', 'Kielce', '42-772', 'Lane', 'Karstens', 35, 30),
('e3b848eb-8c8a-496f-ac9d-bc1b902941f1', 52.3147542, 22.8893801, 'Poland', 'Zielona Góra', '08-220', 'Street', 'Maple', 31, 50),
('d90a4162-a35c-4985-8705-752bace7c3ff', 50.5504728, 20.0561066, 'Poland', 'Katowice', '28-340', 'Hill', 'Sullivan', 11, 45),
('b965bd6f-eb09-4eeb-ae33-9d5b2572172b', 53.0319419, 18.9576575, 'Poland', 'Lublin', '87-408', 'Plaza', 'Summit', 29, 9),
('d117a134-9e21-4aa3-9e24-30255107a51c', 52.35536, 16.519559, 'Poland', 'Lublin', '64-320', 'Terrace', 'Sutteridge', 48, 38),
('d60e91a5-3a30-45a9-9adc-5e2f40c8bf00', 52.7402052, 20.9439427, 'Poland', 'Kielce', '06-126', 'Avenue', 'Karstens', 78, 33),
('1efbf73c-b9a2-4edc-950b-e499900a52f7', 49.7365816, 19.4856654, 'Poland', 'Zielona Góra', '34-205', 'Road', 'Rowland', 17, 39),
('0540bc39-f9f5-41f9-8ac6-960fd3c2fc0e', 53.0155306, 21.3375451, 'Poland', 'Katowice', '06-216', 'Point', 'Ohio', 14, 15),
('40c3dd1b-daa7-494f-9fc4-8e064c09eab3', 50.6514963, 21.2602765, 'Poland', 'Bia³ystok', '28-210', 'Center', 'Sachs', 61, 26),
('5c9ec2fa-d9df-4e07-95a0-62ed5b6c5b10', 52.0872281, 18.8224372, 'Poland', 'Olsztyn', '62-660', 'Point', 'Artisan', 8, 58),
('b32fa5e4-af88-4088-8cc4-7b0daef22c66', 49.6617223, 22.1053444, 'Poland', 'Katowice', '36-207', 'Circle', 'Dayton', 62, 26),
('edebd994-330f-4dc1-8566-32de4cfe4a2c', 51.8123584, 20.065421, 'Poland', 'Katowice', '96-130', 'Lane', 'Vidon', 57, 36),
('3252c080-02b4-4dbe-810c-adcae392e60c', 50.8866749, 21.2296066, 'Poland', 'Bia³ystok', '27-425', 'Terrace', 'Algoma', 10, 41),
('0ec8a2da-3fb0-4ebb-b566-2243e9be970b', 51.0610829, 16.611189, 'Poland', 'Warszawa', '43-523', 'Avenue', 'Sachs', 6, 46),
('7abe0c2f-5dc7-4cfe-b0b5-86a2332d77b5', 52.3620932, 16.8088394, 'Poland', 'Olsztyn', '62-056', 'Pass', 'Wayridge', 56, 29),
('d9a3f875-0afd-403a-afab-5d5070eed00e', 50.9811092, 17.0357954, 'Poland', 'Bydgoszcz', '55-020', 'Terrace', 'Truax', 67, 60),
('029c80c3-6f7d-4da8-954d-fbb49a9380f4', 50.4333399, 16.2304168, 'Poland', 'Szczecin', '75-136', 'Drive', 'Rieder', 28, 37),
('4591ba79-7c4f-4258-bdd3-7605793c1d5b', 49.666675, 19.2774975, 'Poland', 'Kraków', '34-331', 'Plaza', 'Sullivan', 50, 17),
('58ca00d6-5224-448b-817b-39199efa968e', 53.4131023, 18.0085553, 'Poland', 'Olsztyn', '89-525', 'Crossing', 'Scott', 39, 6),
('5e3db8b4-883b-43f0-9cc2-c714407bc684', 53.0859681, 20.0476701, 'Poland', 'Kielce', '09-310', 'Crossing', 'Debs', 43, 29),
('6bb2ec03-e51a-4525-9ec9-c7dcb75bac97', 50.562666, 22.3233329, 'Poland', 'Olsztyn', '63-202', 'Plaza', 'Kropf', 21, 54),
('7a07e782-957e-40d3-9d3f-6e4ac8d7824e', 52.1899235, 18.8632124, 'Poland', 'Bydgoszcz', '62-641', 'Alley', 'Glendale', 18, 10),
('26e6ff66-ee57-4bd5-8a0b-5accda0cb432', 53.0651548, 20.3482376, 'Poland', 'Bia³ystok', '06-521', 'Lane', 'Mccormick', 44, 44),
('7eb8a909-f20d-412b-8970-2de419848b18', 51.97842, 20.83374, 'Poland', 'Katowice', '05-555', 'Circle', 'Utah', 19, 17),
('3b684491-628e-45d3-84ae-78d4b9e52732', 50.003461, 19.612945, 'Poland', 'Zielona Góra', '34-115', 'Drive', 'Barby', 6, 3),
('fb04664c-259a-45fa-935a-243322fa2d35', 53.8044834, 21.7303948, 'Poland', 'Opole', '12-201', 'Place', 'Glendale', 55, 18),
('e8097cb3-198a-487e-97f9-e8ea9f0b3365', 53.1395216, 14.4504726, 'Poland', 'Opole', '74-120', 'Drive', 'Blaine', 65, 20),
('31b2ea02-f4c8-4aa2-80c3-393d2cb50a82', 51.2358934, 23.5939963, 'Poland', 'Bia³ystok', '22-110', 'Way', 'Dryden', 43, 51),
('10c2831b-6943-41cc-919c-e2496fc8b832', 54.5017232, 17.2685316, 'Poland', 'Wroc³aw', '76-231', 'Pass', 'Mcguire', 17, 25),
('76073ef4-5bf7-4a7d-95b3-937aafe8a66a', 52.6057865, 21.8949682, 'Poland', 'Zielona Góra', '16-101', 'Junction', 'Nevada', 18, 53),
('c78e5cd2-2ace-41a6-a1e1-ffb3c7bf7852', 51.8948456, 15.4110348, 'Poland', 'Szczecin', '66-008', 'Drive', 'Melrose', 72, 14),
('ca901b70-ad01-483f-9b05-22389e2a64f1', 54.0077659, 16.0063249, 'Poland', 'Katowice', '78-210', 'Drive', 'Leroy', 14, 16),
('03daf502-5cff-4ffa-9d4b-b711e9c3d8ce', 50.05998, 21.8324138, 'Poland', 'Opole', '36-071', 'Junction', 'Sundown', 64, 19),
('bc9ccb6e-a325-4c0c-a45a-53b0d52f0f20', 50.8304668, 15.4781267, 'Poland', '£ódŸ', '58-580', 'Pass', 'Melody', 16, 21),
('0e2d3862-4cf1-4532-9e7e-5444dad81909', 50.0628163, 19.722311, 'Poland', '£ódŸ', '32-064', 'Plaza', 'Milwaukee', 61, 4),
('e9eb4fc4-94d9-4e7f-bd49-1fdf6e1f4af3', 52.1379258, 21.828508, 'Poland', 'Gdañsk', '05-320', 'Court', 'Everett', 8, 49),
('34c1444a-7176-43a9-9bc0-7ba8ec554533', 52.2680883, 22.5839609, 'Poland', 'Poznañ', '08-109', 'Lane', 'Mifflin', 80, 29),
('dfce041b-1abb-47e7-91b0-dee784b90a8b', 50.8062039, 17.8834957, 'Poland', 'Katowice', '46-082', 'Court', 'Laurel', 9, 1),
('121173d5-7382-4d52-9a2e-4cbbad1afc8f', 53.8964099, 16.8352157, 'Poland', 'Toruñ', '78-425', 'Terrace', 'Ridge Oak', 9, 12),
('504e2ca6-d4dc-433a-8dc3-d9c928bfdd8a', 52.5299344, 17.6034134, 'Poland', 'Bia³ystok', '62-210', 'Crossing', 'Mcbride', 72, 36),
('3dcd771b-b951-4573-bb92-5fbea60f8961', 50.1214779, 21.9686719, 'Poland', 'Kraków', '36-062', 'Trail', 'Texas', 54, 39),
('eac8b030-1822-43d4-8b17-ef37723dd2da', 50.1343159, 20.9297741, 'Poland', 'Bia³ystok', '33-240', 'Trail', 'Fordem', 45, 29),
('ab6e11ec-a1ef-4d14-83c8-11b98d54c28f', 50.877972, 17.4803923, 'Poland', 'Bydgoszcz', '49-314', 'Way', 'Calypso', 12, 56),
('1003a401-118a-4d7c-bfb9-f89cd1482949', 53.3934077, 17.6633805, 'Poland', 'Sosnowiec', '89-412', 'Lane', 'Cottonwood', 10, 13),
('fa2d3f2a-7ecf-4361-b00f-b8380376adab', 51.192893, 22.0650878, 'Poland', 'Poznañ', '24-320', 'Trail', 'Sachtjen', 36, 3),
('cfdc53a8-a9b2-40e9-9ccc-0ed2875f55ae', 52.3366443, 20.941429, 'Poland', 'Sosnowiec', '05-094', 'Park', 'Menomonie', 32, 53),
('d8dc509e-484f-47f9-a2b0-cb8ade7c304e', 52.1741837, 22.9436435, 'Poland', 'Gdañsk', '08-205', 'Drive', 'Jenna', 73, 29),
('6c91e6e2-e2a9-4fa9-8d96-e363c0cba4ee', 52.142598, 20.7175048, 'Poland', 'Kraków', '05-840', 'Hill', 'Blaine', 13, 49),
('c155d556-14ef-4937-a080-3f5a90057e4f', 51.64438, 22.561217, 'Poland', 'Bia³ystok', '39-210', 'Lane', 'Mallory', 2, 43),
('0738990d-d6df-428c-be24-832c2014d5ae', 49.8180882, 22.4761571, 'Poland', 'Lublin', '37-754', 'Circle', 'Di Loreto', 67, 45),
('ba0357ae-cc99-45a9-b76b-d2ce2a203f20', 52.182599, 20.5627943, 'Poland', 'Katowice', '05-870', 'Road', '8th', 23, 13),
('70a5f3f7-3c17-4a43-aade-c49684fe2d25', 52.0872281, 18.8224372, 'Poland', 'Szczecin', '62-660', 'Trail', 'Clemons', 43, 9),
('2ffb5bea-c4ab-4e77-b805-b8384f629210', 54.1831243, 15.9277356, 'Poland', 'Toruñ', '76-038', 'Street', 'Troy', 12, 55),
('60c4bda6-b1fd-4b75-8b6f-1c6ae1a51744', 49.687421, 20.7765351, 'Poland', 'Lublin', '33-321', 'Junction', 'Rigney', 66, 1),
('0c21cc32-544f-437d-ab8c-cfb0cb668028', 52.35536, 16.519559, 'Poland', 'Bydgoszcz', '64-320', 'Road', 'Londonderry', 64, 56),
('170ea2b1-17a0-4363-b9db-af2f90e4f78b', 51.1811979, 16.4883489, 'Poland', 'Zielona Góra', '55-320', 'Parkway', 'Glendale', 28, 19),
('02cb7941-3da9-4c7b-bcd6-b660dc0640fe', 50.6655892, 18.9277567, 'Poland', 'Bia³ystok', '42-283', 'Point', 'Lawn', 30, 55),
('1e93b19a-e4fb-406d-b6a1-8893db1a41fc', 50.3575196, 21.5421579, 'Poland', 'Bia³ystok', '39-333', 'Drive', 'Lakeland', 43, 38),
('86ef30f3-6bad-4f2b-b778-6c03cbbafcb5', 49.6968574, 19.9506717, 'Poland', 'Toruñ', '32-433', 'Drive', 'Blue Bill Park', 28, 38),
('270ff549-4f17-47b0-8af8-840d1e9b2ff9', 49.9776657, 20.9421091, 'Poland', 'Warszawa', '33-111', 'Road', 'Michigan', 64, 36),
('410a9a49-1d64-46ad-b80f-d47901618867', 50.6657079, 18.0732903, 'Poland', 'Sosnowiec', '46-053', 'Alley', 'Westridge', 40, 7),
('9c209773-488a-4d65-bb55-cfabdb4c9974', 49.837947, 20.1528189, 'Poland', '£ódŸ', '62-056', 'Avenue', 'Gateway', 17, 50),
('e155baa6-ec81-4efd-a48f-b1760ceb38dd', 49.494604, 19.7094323, 'Poland', 'Szczecin', '34-480', 'Drive', 'Leroy', 57, 52),
('c663f580-438e-42f6-aa0a-d94c4c6b3d62', 51.5574609, 20.8640191, 'Poland', 'Katowice', '26-807', 'Lane', 'Elgar', 4, 21),
('07bee1fd-5302-4cc6-b239-1db11b4600e2', 52.44387, 15.11697, 'Poland', 'Poznañ', '69-200', 'Way', 'Boyd', 62, 38),
('9a2b8e56-313f-4cb2-b197-37eeea09bf98', 51.7173795, 15.4240467, 'Poland', 'Gdañsk', '68-113', 'Center', 'Clarendon', 5, 44),
('753e0143-a747-4804-a445-74f5a105bd9c', 49.9521852, 18.4800457, 'Poland', 'Lublin', '44-348', 'Court', 'Talmadge', 28, 35),
('0ca44e18-5b22-4c9a-a4ac-96a65986f606', 51.4393178, 18.3993464, 'Poland', 'Kraków', '98-273', 'Point', 'Lyons', 77, 32),
