('f9cf0475-58b3-4fa4-98cd-af34b10d71dd', 'poszkodowany'),
('656185d8-77b9-41ea-b3fb-d1d8f5414365', 'poszkodowany'),
('30026249-97bb-422c-8be7-fa85916fd60e', 'poszkodowany'),
('09fd7914-d648-45d5-8760-ceb99123f7d5', 'poszkodowany'),
('f7ae7996-4095-4313-97c7-1819708d44df', 'poszkodowany'),
('a4799dd6-3741-4c51-9f40-7594e574c9bb', 'poszkodowany'),
('fdae774a-3494-4c8a-aafe-9a38867b5017', 'poszkodowany'),
('3aa01e4d-8d71-42a3-b670-8291b9491824', 'poszkodowany'),
('edde5435-4201-4dc2-bbb7-f322aa86852c', 'poszkodowany'),
('be7e37ec-db75-4094-9d4e-2eb406e5a380', 'poszkodowany'),
('3a98f532-8a5c-488b-a591-a3a468c9108c', 'poszkodowany'),
('5070ac29-fce2-457e-bfc1-b44d0bf729d8', 'poszkodowany'),
('cb6f7ea5-70e2-4c59-98b4-79464c70143f', 'poszkodowany'),
('88b53bd1-2fba-496f-9922-32167749c9fb', 'poszkodowany'),
('062ca4a4-5ebb-495b-81d5-5214cdc92daf', 'poszkodowany'),
('717ff94d-4c69-425d-bb73-23f740bb9162', 'poszkodowany'),
('e773694a-7557-4835-bdd1-68db5e61e3ee', 'poszkodowany'),
('a2e58e6b-a109-45ca-8ea2-d9447b25647e', 'poszkodowany'),
('c8b761d3-7a71-42a4-a01c-3cb592d2ec4f', 'poszkodowany'),
('9feb4d16-cadc-4000-930c-3546c5185424', 'poszkodowany'),
('89ad58aa-acf4-410f-bb73-04fb0276731d', 'poszkodowany'),
('655b843a-fb28-4448-9935-c6b4211cce8b', 'poszkodowany'),
('48f76d73-d292-49fb-a6a9-777a1a9ed67b', 'poszkodowany'),
('6ae04916-ef8f-48fc-9b3c-4f81ef65d9b0', 'poszkodowany'),
('0e21573e-4a61-4eda-8864-5625a3d67eea', 'poszkodowany'),
('dc556d9e-ae17-466c-8140-d116b152dedd', 'poszkodowany'),
('67b9913a-e7bc-42e9-b89f-418e40cb8afd', 'poszkodowany'),
('da5478a8-d97d-4ff9-acfe-77ca8b9ce305', 'poszkodowany'),
('fc35c700-79e1-4fce-81b4-0cf5d6532ee7', 'poszkodowany'),
('857ea790-135c-4930-8ae0-488627605bb5', 'poszkodowany'),
('95014c78-619f-4818-b034-01376609bb3d', 'poszkodowany'),
('1aceb5c5-229a-48f4-9653-c0d18c5a5050', 'poszkodowany'),
('4f814fbb-8bf7-4d87-984c-7feb6cca31b7', 'poszkodowany'),
('c25831f8-f496-4939-83f7-b1bfd886fee7', 'poszkodowany'),
('cdd21b23-dce5-49e9-9a15-f157de9dd9e5', 'poszkodowany'),
('216e432e-6112-4ec0-af2d-ccb5211891a9', 'poszkodowany'),
('23e0bc51-1b02-4f17-ba5e-8696ca93a695', 'poszkodowany'),
('e4cba7da-73a0-4fc9-b5b7-a3ee416f0295', 'poszkodowany'),
('468edd3e-7f7b-4502-a39c-a4a37d14e82f', 'poszkodowany'),
('3d295ddf-cd30-481a-bb04-8215d3155123', 'poszkodowany'),
('8a067418-0958-459e-a2a0-55e2e009aae8', 'poszkodowany'),
('cf48fd55-95b9-4bcc-a27f-8b6bac20e3ad', 'poszkodowany'),
('4bb7324d-8e73-4c4d-a3d2-ff73dd75a146', 'poszkodowany'),
('42554a36-33b3-41f1-82c0-6004ba860358', 'poszkodowany'),
('c1876cdf-6f3e-48c4-b512-26fd8274dbc3', 'poszkodowany'),
('d5820442-7f32-4a00-8d6d-27eba6b904ea', 'poszkodowany'),
('48b8a9b8-674b-4474-a9f9-c8a944350c95', 'poszkodowany'),
('f497c3e3-bbdb-4626-84f9-4b455517d04a', 'poszkodowany'),
('236d47f0-2bb4-4933-a92b-8622d6491718', 'poszkodowany'),
('5ad7aa84-abbb-4a08-869a-bebaaf1a678d', 'poszkodowany'),
('97ff2523-fe32-48a1-b952-90ae4a540a1f', 'poszkodowany'),
('a13a69ff-11ab-4281-beb5-b171288a6078', 'poszkodowany'),
('62b98f6c-71f5-4af1-b9de-abf2df223788', 'poszkodowany'),
('fdd5a4b3-6261-46d5-bb04-8e0e8a4260ca', 'poszkodowany'),
('f9595cbd-9ea7-4821-9614-8f46acd1ae75', 'poszkodowany'),
('ab8cfd17-0539-4344-8592-3132918428da', 'poszkodowany'),
('3a70dd4f-af26-4253-b8bf-b1d19145447b', 'poszkodowany'),
('6a43c920-d963-4a2b-93ad-6c58569c656d', 'poszkodowany'),
('ebdd45c1-e4ff-44af-b2f9-a821623d94aa', 'poszkodowany'),
('7597524e-742c-4481-9af9-d3aa67b8a294', 'poszkodowany'),
('43aae922-b9b5-4697-ba7d-c5b2f52de2db', 'poszkodowany'),
('7b2ce305-1db4-4ae8-a15f-debc80bf3922', 'poszkodowany'),
('4386a1bb-8765-48c8-85c6-bad22f0eeb56', 'poszkodowany'),
('d1e7c0b8-2111-4cad-9c7b-a0ae8a084db5', 'poszkodowany'),
('6541385d-8bc2-4692-a3b9-ef1e76ebbf0a', 'poszkodowany'),
('d59aa7f2-9096-424b-bc0a-7dcc1d2f7222', 'poszkodowany'),
('3086aa56-2347-45a5-9fa9-525d1d7ca67c', 'poszkodowany'),
('776eedcd-1885-4e8f-9e5f-7c1f76df302c', 'poszkodowany'),
('b7fe6843-e856-4be8-887a-e627e212f5f1', 'poszkodowany'),
('abcf3e40-e6f3-4ddb-b5b3-65a4310c2891', 'poszkodowany'),
('57df4f5c-56b9-40e7-9994-5b991231839c', 'poszkodowany'),
('b7d52970-ff3d-429e-8385-a05b310ce813', 'poszkodowany'),
('e866aee1-4ad3-4bed-8a19-7b5be2cf9e2a', 'poszkodowany'),
('3bb3b7d3-7c95-4393-ad6a-7e790799d50d', 'poszkodowany'),
('fbce5f52-9ffa-45e9-99ae-3e23bdebf2b1', 'poszkodowany'),
('3392d420-94ef-433c-adc1-b6d80143b47f', 'poszkodowany'),
('2b595017-0c70-44a2-933b-87ff64ca2458', 'poszkodowany'),
('b4463945-601b-4e9e-9bfa-f693d78bfd06', 'poszkodowany'),
('f44261db-e622-4ad7-ab6a-4ef084da0cf7', 'poszkodowany'),
('5fe5af1e-3cb8-41a3-9355-8576e073ae19', 'poszkodowany'),
('5e99f8e5-fa0b-4e13-b01a-665cc59c7881', 'poszkodowany'),
('4447dbbe-a176-432e-aa38-e51a057e28d4', 'poszkodowany'),
('bce66d0d-b8a0-43f5-aa1c-aca22ffce8ef', 'poszkodowany'),
('90124222-24e5-4922-bd11-2a657c8931ab', 'poszkodowany'),
('a783db81-c6e5-474c-bfcb-bc50af598693', 'poszkodowany'),
('459756f1-3701-4f6f-b3ad-5b013d137a89', 'poszkodowany'),
('5fc89347-d42b-4bbb-9137-35e1a7a76678', 'poszkodowany'),
('9503bf24-e8ef-438a-adc5-435355b6ef53', 'poszkodowany'),
('ab22420e-701e-4aec-b27c-13b6ca9cedcc', 'poszkodowany'),
('d632b830-df4e-43f2-a2f0-f0ddd76d3460', 'poszkodowany'),
('e810fc15-c71a-4411-b60f-bf9eb1cee32b', 'poszkodowany'),
('761d3aa8-7231-4cfe-97cd-e0dff9a12845', 'poszkodowany'),
('724982d4-2ab7-4d03-bca8-c13d35d1dbe2', 'poszkodowany'),
('51947479-0bdc-41ff-8dfd-f54907e105e7', 'poszkodowany'),
('7c90564c-79ca-431f-b9e3-baf167afbed0', 'poszkodowany'),
('5c7ed5c7-8d0d-4ffd-bdad-223c6f4aac39', 'poszkodowany'),
('397ce5b3-8485-4c10-94f2-35ba347dc733', 'poszkodowany'),
('f37cf2f7-bdab-4580-82d1-9a74883a84a6', 'poszkodowany'),
('f3601ba3-6821-4f8e-88d3-c1759eec83af', 'poszkodowany'),
('2a8cdfbf-1a08-4438-8e34-08379609d62c', 'poszkodowany'),
('424290a2-2600-496c-94b9-e2a497478611', 'poszkodowany'),
('fa830157-0eb1-4637-902a-606c3b46db65', 'poszkodowany'),
('d70362df-f6c5-4bf2-bdab-63a7ff72eadd', 'poszkodowany'),
('74701766-8211-4558-ab2c-3f6d69ef78ab', 'poszkodowany'),
('3dac9d34-9d31-4e1b-a13c-0832d365641f', 'poszkodowany'),
('76f73605-daa3-45b7-bcfd-59e07d35bccb', 'poszkodowany'),
('db48e5d0-16b6-4d0f-8818-47c27a811d58', 'poszkodowany'),
('c12a858b-49c3-4635-9d39-94e998bfdf42', 'poszkodowany'),
('d5e15b17-1c89-4fba-bf21-e3d1a350dcfc', 'poszkodowany'),
('ce4d94e9-1f1d-46c9-9df1-ef82bcdbd0af', 'poszkodowany'),
('ffcd9962-18ca-4301-be51-af4d72369bee', 'poszkodowany'),
('02300078-9d4e-4a2c-b6d4-72cd145e275a', 'poszkodowany'),
('bcc842e3-f839-4782-a310-9444bee5bd17', 'poszkodowany'),
('b72a90a5-c0bd-49af-8320-be4dbc86f5c4', 'poszkodowany'),
('77c464c6-db51-4357-81bc-6afd6c890331', 'poszkodowany'),
('2a363017-7189-4b89-95a7-6d5fdfbc1cb4', 'poszkodowany'),
('ba9858b3-94c8-4213-a949-f1ddeba49f3a', 'poszkodowany'),
('00fe8e1c-bf1c-47f3-b74a-dbbfee7e128d', 'poszkodowany'),
('c6eaf51f-0011-4b24-bf3b-99240be9284b', 'poszkodowany'),
('d4e47850-d788-4985-ba15-0bcd6f7a9c7f', 'poszkodowany'),
('87a01598-ce67-409c-b304-3502222cc04c', 'poszkodowany'),
('74d3ac1c-8213-4561-b640-06744625bd54', 'poszkodowany'),
('c89c112f-76dc-43c3-a2ad-f3cbce9387b7', 'poszkodowany'),
('cfdbc305-7a1f-4e53-a66c-c7bd828509a6', 'poszkodowany'),
('761981ae-b983-4568-bb27-f4bc69d77df7', 'poszkodowany'),
('66507c12-1566-4bba-a327-f9b3a7af1c2a', 'poszkodowany'),
('bdb833fe-2345-4525-a483-9ce8094273de', 'poszkodowany'),
('a3141d9a-8001-478c-8ad3-d5768c250857', 'poszkodowany'),
('67e989f0-a5bb-4a1b-bbd7-b3e96f3b8b46', 'poszkodowany'),
('fc41e970-6b3a-4f72-89e2-1c2be800c202', 'poszkodowany'),
('0b71bf29-75b4-4632-a5b2-ad55f9a4ea0c', 'poszkodowany'),
('afa4f18f-ad69-473f-a21d-18e403867d55', 'poszkodowany'),
('84f8946d-a348-4264-bdb6-bee06adf8ac9', 'poszkodowany'),
('b4631207-3f56-47d1-8218-0d2669c86000', 'poszkodowany'),
('83767673-8570-4d90-a6d8-63d0e20e28ca', 'poszkodowany'),
('127eec8d-dbef-4a6d-aba0-5aa5d53e3f83', 'poszkodowany'),
('ed13a62d-f39c-403a-86df-5c904fc5c241', 'poszkodowany'),
('286343bd-2a50-4962-a7c5-b210f97c30e7', 'poszkodowany'),
('a7ad3c49-fbee-4d91-ac73-37741a1b325e', 'poszkodowany'),
('5c3f754b-3cf7-4ca5-b586-8ba7b2acae53', 'poszkodowany'),
('7e68699e-92fe-4bf0-a7b6-e6bbf3a91862', 'poszkodowany'),
('9368dece-47b6-4734-9aab-fc72ff4f011e', 'poszkodowany'),
('d41e2f47-0427-4100-ac09-8b4e8c0620b6', 'poszkodowany'),
('9f193c10-4dc5-4c72-98d8-c563102dea93', 'poszkodowany'),
('2ecca794-a7dc-41ed-b011-a8cd0ff4af1a', 'poszkodowany'),
('0c312712-f8b8-49a8-9fa6-40c8c925ccc8', 'poszkodowany'),
('845e8d86-e0a0-4040-a721-48abcaedd346', 'poszkodowany'),
('fb36a2af-e966-468b-93be-ef9be0f9e0e2', 'poszkodowany'),
('8c421c6d-c28d-4f08-b6e6-b73e7776f3a9', 'poszkodowany'),
('312698ef-2705-4c58-a17e-e63a5149e236', 'poszkodowany'),
('d0cccd1c-b2f9-4769-8cc8-b6444cc18b32', 'poszkodowany'),
('61722c11-07c3-4b33-9fcd-cbb21be3903c', 'poszkodowany'),
('c5af4edc-bee2-4322-beaf-6edb15aff774', 'poszkodowany'),
('ef80167b-2dce-47c1-954d-62a9d42040e0', 'poszkodowany'),
('f42eb066-f362-489f-ad7b-88232f42f5d8', 'poszkodowany'),
('1d336e5e-736d-464c-ba7a-6faac6baea5f', 'poszkodowany'),
('107ccba1-ab48-4b8b-9b30-20b5ae2c8c34', 'poszkodowany'),
('d37050cf-c576-400c-a80f-5fe27dc5445b', 'poszkodowany'),
('707c9bd5-0183-47b7-b647-5b522e572e1d', 'poszkodowany'),
('16cf288f-d439-476f-a01a-0fd063e51481', 'poszkodowany'),
('cf802ed6-71fd-48f7-a88e-8f0ec05e9ad3', 'poszkodowany'),
('072e0cad-cdb9-47cd-800a-35be388a22cc', 'poszkodowany'),
('267960ba-bfb1-4cf7-8636-533f787784fb', 'poszkodowany'),
('9bd462a9-a735-4653-8488-65f2bd1777a2', 'poszkodowany'),
('8a814543-a5f4-4c9c-b7d3-a003c77a137b', 'poszkodowany'),
('087995a0-669f-4b2b-ba27-028af8360618', 'poszkodowany'),
('19d8e6fb-3c9e-4792-91d7-83f4fac25ad8', 'poszkodowany'),
('fed74174-5cd7-4fbd-929a-dc2002de885b', 'poszkodowany'),
('e54db49f-3e25-4c58-a239-95596e21540f', 'poszkodowany'),
('034e808c-005f-456e-97c1-e163c5a12161', 'poszkodowany'),
('d709c7e7-7dff-4293-bcd9-e4b2e37f0111', 'poszkodowany'),
('dd75c970-8959-4c24-9d7b-e1fb6154800c', 'poszkodowany'),
('bac413d1-66c9-4986-b69e-e4cb1e90f719', 'poszkodowany'),
('cb53d2d1-07ed-41d0-84c1-b86d36a7e9a5', 'poszkodowany'),
('d4d10073-e7f3-4b2c-a703-01edd49855a0', 'poszkodowany'),
('4437a6e6-d8ed-434a-bf1b-2eb9c431f911', 'poszkodowany'),
('2876b408-2272-4036-9e2d-db63994f0d16', 'poszkodowany'),
('5156c798-1eb8-4548-a44d-794f23f9d620', 'poszkodowany'),
('5275c9b9-6689-4131-91dd-419bf7e53266', 'poszkodowany'),
('6929bd41-32b0-49da-8b5f-7edbcc24c1be', 'poszkodowany'),
('2ebaabfe-fcfb-4a3d-b31f-e77a1dfa41eb', 'poszkodowany'),
('46fb5386-e0fe-4457-b9bc-f3a83cfc85de', 'poszkodowany'),
('7c1fc634-cf6e-43da-864c-e1e4395fef77', 'poszkodowany'),
('3dd887ce-76fe-4ea0-8d12-306888dbf90b', 'poszkodowany'),
('a6e3eabf-9b01-4aae-9df0-d75a2d2ec918', 'poszkodowany'),
('617b2fd5-bc51-48fa-ae52-5db3cb8dc6b0', 'poszkodowany'),
('ef713019-2545-42bd-b818-a5189ebdbaf2', 'poszkodowany'),
('f17ac2a1-c31b-446e-9bfc-bdc86fae931f', 'poszkodowany'),
('ce015aa9-1c0d-4c02-87a0-a820f5dce281', 'poszkodowany'),
('f7e3cd38-c1e4-469f-b74d-b531118e10c9', 'poszkodowany'),
('71ddfa92-89f7-412f-89b7-a4bb13c0fe1a', 'poszkodowany'),
('88d90d63-a0a3-43bc-a551-6c55c939df94', 'poszkodowany'),
('cb2381a5-73d7-48c5-aa35-cf1ef3d29384', 'poszkodowany'),
('6ee9123f-e989-4d0f-944e-6225be4797fe', 'poszkodowany'),
('6f41212d-564d-48a0-8b25-28e5b0123675', 'poszkodowany'),
('15a48f37-492d-490d-8283-c08b59478ee7', 'poszkodowany'),
('501b03d6-ea14-4a61-8989-c05ac67748ba', 'poszkodowany'),
('f9e84ae4-405e-4087-95e1-783f8ad3bec3', 'poszkodowany'),
('7d4f0629-3a90-46dc-9a22-44196c05dc94', 'poszkodowany'),
('fd5a074f-f915-4cc6-bb4a-5de6439637a8', 'poszkodowany'),
('b7d9788d-d395-4ad5-a4fa-7dda61414abe', 'poszkodowany'),
('78e41751-dc0c-4668-a83f-403c5e1a7d19', 'poszkodowany'),
('47611913-4754-4a75-9f7f-9db93cdc7ccd', 'poszkodowany'),
('9f98dde3-e3a6-411c-bc93-35db9d61cef1', 'poszkodowany'),
('22ce38ae-fdda-4d5d-b5a1-94c4a6941b76', 'poszkodowany'),
('f3149473-1900-424e-8c28-fe582c543fdc', 'poszkodowany'),
('ecfe5944-8a94-4f8a-9de3-c260b7f0277b', 'poszkodowany'),
('612ad698-8dee-4fe7-843b-c2c86da5ce65', 'poszkodowany'),
('feae3208-7f19-4887-ac2e-9b4e4d7bc198', 'poszkodowany'),
('9783fff1-d738-42a1-a760-7cf4a45b0bcd', 'poszkodowany'),
('9410b02b-ee5c-44d1-b684-33330f678514', 'poszkodowany'),
('19dba1f8-7cbe-4ab2-8e2e-f76cb8b80209', 'poszkodowany'),
('28e865c3-6c9c-4500-9c89-1bfc98a98178', 'poszkodowany'),
('b3ced60f-2fa8-4380-bdb1-7c562a9f6727', 'poszkodowany'),
('0c249552-fd0c-4233-96e3-317cd6bbc288', 'poszkodowany'),
('5216f33a-39ff-434e-9bc7-abcfbe6e0357', 'poszkodowany'),
('7e5c2a40-4523-4567-84d5-040c98defc8f', 'poszkodowany'),
('05528907-6ce4-4a91-96a6-68f6ad05b4c6', 'poszkodowany'),
('0b4af308-2601-41e0-b7e9-2bea45606618', 'poszkodowany'),
('146026fc-f411-44e1-b36a-972fc01bcd18', 'poszkodowany'),
('1259a831-7e51-4de4-aac9-79166c0a3e3b', 'poszkodowany'),
('2e170d29-5e3d-478b-b411-ed18ee6bdedd', 'poszkodowany'),
('c3404050-26fd-44b4-9f26-0628220f6879', 'poszkodowany'),
('9f5f12e8-edd0-474a-a971-0c1026cb7948', 'poszkodowany'),
('2704c47c-1399-4822-b830-96971b029086', 'poszkodowany'),
('88432ea8-f10c-49ee-97f6-b1da02b5b6c2', 'poszkodowany'),
('3475c1f5-fa29-41f7-bd04-22f5c0782c6c', 'poszkodowany'),
('5c79ced5-5fdf-482c-831f-9dba016ceb1a', 'poszkodowany'),
('ca7f13c4-d502-43aa-a7b8-dce67dc67b87', 'poszkodowany'),
('ff3a7ec1-152b-4157-8314-a9c19708880c', 'poszkodowany'),
('d105c84b-62ad-4407-b61b-847446ef4fe5', 'poszkodowany'),
('b81872a1-7318-43a3-92ed-a891befe4534', 'poszkodowany'),
('ab3e3164-a700-4e07-b509-be2f0df7fb89', 'poszkodowany'),
('98e3890a-7dc4-46cb-bf4d-b406ead13c48', 'poszkodowany'),
('e0de0d3a-04c2-4870-a417-a72b21d5ce6b', 'poszkodowany'),
('0e3b27f9-cdbc-465c-ab64-ecbb4eac53af', 'poszkodowany'),
('149d42d3-edfd-47ba-bf8b-4089a22fafdf', 'poszkodowany'),
