('548b95d4-ac85-4264-ba1e-bde5f3681517', 'email'),
('d1826197-39b1-4cd2-b659-9c7f7654c6b7', 'pesel'),
('36f001b0-8099-42cc-ade4-26f37a05feed', 'email'),
('1321dee7-bda5-44b3-98fc-e798c04047a1', 'adres'),
('31ee6826-84b8-4410-8309-e8462fa59a24', 'telefon'),
('28883d35-73d9-47e2-858b-a671d2ef765f', 'NIP'),
('7c5ab534-540c-46b4-8973-7c7d122860f0', 'pesel'),
('aa47ae43-d163-446f-8227-8e1e7f17d450', 'email'),
('52e4d280-618c-4307-8349-a98fcd766ae9', 'adres'),
('61c24d1d-ca8b-42bc-9608-25d68ee8c2c9', 'telefon'),
('dd398b75-de2e-4688-9d46-4fec73120ccb', 'NIP'),
('7ee99346-60b4-4239-b839-44171545f310', 'pesel'),
('a5a67748-409f-41f9-a433-2fc87748155c', 'email'),
('b6b00ed7-ed0e-4760-b89f-a05b0f86ed0c', 'adres'),
('da0b7a88-c03e-44fd-bb20-ca01502c8cfb', 'telefon'),
('91908629-a221-4790-b25a-5b8c8df9b767', 'NIP'),
('31ae836c-6dc8-43ac-bcdf-250b4b2b3e91', 'pesel'),
('4071c84d-c604-45e2-b80d-ddbaefae4e8f', 'email'),
('596f5e50-7714-4c3b-8faa-a2e7538f456e', 'adres'),
('3ad13628-2bb4-49ec-bc29-409af2323971', 'telefon'),
('5701c88c-d1a9-4506-8fd2-547544682974', 'NIP'),
('7010acb2-6efd-47be-8ff5-a714af6edc7b', 'pesel'),
('5c84418f-05f5-4be5-b3a3-3f9c3ef6e2c3', 'email'),
('38f42bed-d9c3-4137-bcd9-e2e40898e509', 'adres'),
('c2a514ae-d827-4b32-84f1-797acd8dcc54', 'telefon'),
('4dd09119-b393-4d2d-87c0-07e72d8853da', 'NIP'),
('c4ba77f5-8f27-4f82-815a-f7249aab8ce3', 'pesel'),
('ced2f331-2379-435a-b9f6-207645a7830a', 'email'),
('99c124ca-38a5-45d3-afd7-b24eb1560043', 'adres'),
('abef0d9f-83e1-4700-a835-819d1d9a6103', 'telefon'),
('1b3a868c-0ab8-4368-bb89-5a619f10d0eb', 'NIP'),
('f0ec58f8-a3e7-4ca8-ac5e-bef300e701e1', 'pesel'),
('b99ef0ac-ee3b-44b9-be24-821d357d6ac9', 'email'),
('706494ce-880c-42b9-8486-f5fcad24b083', 'adres'),
('c4c47727-a996-4e41-b7fb-97c25437a9ca', 'telefon'),
('7db8aa06-62db-4297-965e-5ee3b701be68', 'NIP'),
('27ec5623-bb20-4043-8a95-3d40c6981042', 'pesel'),
('1dd8cb5c-d36f-40a0-b830-8fa10548a393', 'email'),
('f81bc542-7788-4bca-9876-586bc9d57b27', 'adres'),
('4e06418a-384a-4911-a549-0add567022d1', 'telefon'),
('d5e5b380-017c-411c-b1eb-55d7348e91eb', 'NIP'),
('9b75c949-84c8-4748-bb9e-001ca712871f', 'pesel'),
('6b68c137-ac5f-4896-b4e5-8b3144b325d8', 'email'),
('07f23101-6d41-4c70-ae21-6ed487393d10', 'adres'),
('9fc75a49-7528-47ed-85bc-bf99b1f2002c', 'telefon'),
('fe7f6966-132e-41cc-8c6c-fade34e4e54e', 'NIP'),
('fc689818-0cef-431d-8b68-798a1c3fc37f', 'pesel'),
('8d89457f-325b-4e63-968d-45f45a15914e', 'email'),
('20ee2ac9-f7ad-4ed4-bf62-c41c53610eb1', 'adres'),
('4eebd089-0a6f-4d0e-82d5-4706194d0cf0', 'telefon'),
('8121a70b-f9bf-4530-ba10-912af6ee6146', 'NIP'),
('851e5321-d765-4ea3-ad25-f37305846c8d', 'pesel'),
('ebbfa925-226a-40f8-ac46-4fc2309b0a71', 'email'),
('fe01c0ba-d514-433e-9133-347533131a9d', 'adres'),
('d782b6e2-c5bb-4f73-9873-2523d92dfa83', 'telefon'),
('6c63f240-aa36-4b50-b129-66154c05cadb', 'NIP'),
('7fac6317-4204-42fa-be73-a54199b3d07e', 'pesel'),
('fe710ef8-b5b9-418d-a915-33058e29c817', 'email'),
('7a8271d6-d152-4f37-986b-1ea0efcd2590', 'adres'),
('9e8fb72a-e1b7-4ffe-8238-3434cc7378bf', 'telefon'),
('ca6c5c8e-d4cc-4cbd-9ead-c73c54d473ef', 'NIP'),
('5f489892-510e-4a5e-80c0-0a5aee909517', 'pesel'),
('247f9030-31d2-4482-b258-e9f275928ac7', 'email'),
('334bc47a-236f-467d-9bc7-1504fe21e0e5', 'adres'),
('0f873575-27d2-48f6-8a91-abeaa2c3b15d', 'telefon'),
('7007dd9f-c461-410b-a882-b9afb6eef06f', 'NIP'),
('d4075739-f8a5-47ae-aee6-68d082fa9015', 'pesel'),
('5932448c-7064-45cf-bab0-eac72557665a', 'email'),
('a07077d7-cebc-46fa-8e6d-4e3657685e6b', 'adres'),
('0ba8bb98-6f86-4a8f-ae2d-56c939f6cb78', 'telefon'),
('fc816c13-40e0-4d51-920d-e913c9ec9d01', 'NIP'),
('89cb6218-75d5-44f2-b2dc-c7ca6373b627', 'pesel'),
('c3719b05-5987-40c3-adee-7d37fed13452', 'email'),
('c6e2c2d5-7573-4d43-ab81-99aeaceaa112', 'adres'),
('e6cf54b4-7bfd-49d0-99e9-fbc87f07be7e', 'telefon'),
('0e00efc4-ff4b-4349-8a11-8f36b09f5c65', 'NIP'),
('05faae9e-69bf-4d4f-a137-e1da18cd615b', 'pesel'),
('15f45d47-9fe2-44e7-b9d3-f76a746573db', 'email'),
('866da373-fab6-468e-90f3-73cae310b1dc', 'adres'),
('02b42e60-e9bd-482d-b4a4-e9a62cb0f143', 'telefon'),
('7f05cb73-0ac1-4138-a565-1fd7795a1c5b', 'NIP'),
('d6862e02-9da5-40a4-a918-a3028b696175', 'pesel'),
('542081da-3127-44b3-ab3f-51665e3e6f1e', 'email'),
('f80586b1-d65a-4fa0-a705-d2ac25ef576d', 'adres'),
('59f14189-580a-4719-9ff7-d3cb44ba9792', 'telefon'),
('69233c96-3b1c-4070-b263-f4304a57d0cd', 'NIP'),
('641d9abc-40d1-4119-9f50-14c99fc4f04a', 'pesel'),
('9726a8b1-bf35-4ebf-b329-f2a89ce2aae0', 'email'),
('a7e8bb45-5e91-44b9-adef-f7e8e187d49a', 'adres'),
('5edcbd4d-78ef-48ad-b652-594d539e5409', 'telefon'),
('ebe4f47a-5dee-491e-85d0-9109cc095473', 'NIP'),
('75a90789-4923-49f1-95f8-667a3b14e2c9', 'pesel'),
('a8fb3970-1a9e-4f1b-9edf-52606369a3ae', 'email'),
('d3f66622-9a8c-4cb8-94c4-eb43586dd8fe', 'adres'),
('ead9b8c7-de00-439a-b770-cc5a04c7083b', 'telefon'),
('b0f0267c-c8fc-4275-b65b-92ac279a9caa', 'NIP'),
('04122d26-b47f-4c92-8500-799af6895cd8', 'pesel'),
('d79d3dd1-f906-4c61-bf94-082a07293048', 'email'),
('c3c615e9-bacb-46a5-8f91-68c61f74ff88', 'adres'),
('e05adf5f-b5be-44ad-8235-7e28e94d6917', 'telefon'),
('1c416fa1-27c3-4380-8e8e-7b930855889f', 'NIP'),
('1f8930ba-14c7-4bbb-91d6-6bbc687328b5', 'pesel'),
('c4814fb5-6617-4eda-b731-6f2bf0180ed2', 'email'),
('f180dc2e-d486-4114-b323-1570eddeb7ef', 'adres'),
('260715ed-fb28-4c4e-a206-ca8afb5d18ff', 'telefon'),
('3a224c74-60bc-4c47-b854-a08eb8013510', 'NIP'),
('8846be54-20f4-44d4-b6b1-7b2cc6cf3e2d', 'pesel'),
('a65a0050-ccff-4309-8328-c93f516e6df6', 'email'),
('a0363a78-f834-4998-bf70-712ae719d2ce', 'adres'),
('5be62734-cc3e-49c0-866a-027c9ac411df', 'telefon'),
('cf85e3ca-e37a-47d1-8acd-92a66c7a3822', 'NIP'),
('a3883e8c-b729-4f81-b846-598b3a4e1afc', 'pesel'),
('3ed05030-7586-4fe3-a759-dffeda177992', 'email'),
('9402e25c-e33b-4f7d-a113-575d5657f93a', 'adres'),
('40bf0d74-fbe4-41f9-ac78-1658b072a40e', 'telefon'),
('374a778d-7c99-4955-ab91-a0e89b3364a6', 'NIP'),
('a518e5d4-c644-4ad6-b91e-29fa106ccb81', 'pesel'),
('a965097f-9cee-4d86-ac49-4dcc72259a8e', 'email'),
('c525d675-aae2-4cdf-8d9c-d93bff9a5027', 'adres'),
('d53fbacb-50bc-458c-9cc1-ca967cfecd4d', 'telefon'),
('3da13741-2bb0-45ee-8ad2-4f0aef055746', 'NIP'),
('bfb895f4-b8aa-4c1d-8ddb-371bf51a0b73', 'pesel'),
('59c7077b-740e-4b6c-90f4-cb924163cc47', 'email'),
('51b8ad62-1b48-450d-9148-75f91bf702aa', 'adres'),
('d699e368-dfe9-4595-aabd-a423ef121d9a', 'telefon'),
('c59d8cd8-3a94-4bff-9141-f3c94733c74e', 'NIP'),
('38680dda-f171-4460-aab0-d64b998eed5e', 'pesel'),
('abdf721f-bf51-403d-aeee-c48ae511c050', 'email'),
('9cb30623-335e-444b-878b-1ff7a7a5ed30', 'adres'),
('7554d82b-7ce4-47e3-9c8c-635b7f21c52b', 'telefon'),
('88b973e0-d4c4-4165-a312-adfb10190cfd', 'NIP'),
('b52c63c3-8e9a-4e1e-934e-a9229aab9a9d', 'pesel'),
('c9771a38-7013-4410-b2fc-a5a216b43cec', 'email'),
('5fdc89ea-c306-438f-9120-bb4efc9ef54c', 'adres'),
('cb6cae57-9b23-4a61-a586-9c6017a6256a', 'telefon'),
('02576862-2457-40b6-a6fa-c5538d77cd23', 'NIP'),
('7c76cdb4-f5f5-43cb-90b7-07f86d6ec9b9', 'pesel'),
('63c6c03e-c022-4afd-b3b8-b3cd52fbd2a8', 'email'),
('4c82a1d9-a05d-4dd2-84d4-2dcb0c27e1af', 'adres'),
('877cd448-90da-4960-b128-b5122a6876bc', 'telefon'),
('2ac00d79-0c27-4d5b-8d92-db42650a2743', 'NIP'),
('3e9caba2-1777-4822-a59d-c87152576021', 'pesel'),
('fe33576d-0648-49c0-b5bc-d2e6cdec419e', 'email'),
('0c408fa2-e252-4e04-93a3-0bc5437176e4', 'adres'),
('b995d0fa-b3fb-413a-92a1-3db1cea3b527', 'telefon'),
('1edd87b0-a14e-4a85-a8f5-08746f4e2c00', 'NIP'),
('3adc72c7-88b4-4954-8524-86f5d0979427', 'pesel'),
('bcac38d0-6b4f-4584-828d-30eb301c9e6d', 'email'),
('4b2b957a-aa3d-451b-9358-048a7744a296', 'adres'),
('073764f2-4566-4082-b62b-cef708cd661f', 'telefon'),
('1f5b347f-b91b-447c-8d5d-6dd7ccce5c27', 'NIP'),
('2e7ff31f-0756-49bb-b0fe-43dc27b39e4a', 'pesel'),
('1452a91f-df1d-41b5-9c00-13ec93f92334', 'email'),
('1e7a193e-1321-4621-ba3f-d720dd397e40', 'adres'),
('09da72b3-3252-4996-8ce7-e34b2a94b793', 'telefon'),
('0f044d27-1ba3-4b47-8117-566bd3bb00ed', 'NIP'),
('03a7a52f-049e-4f50-91b6-7236906325e1', 'pesel'),
('6b01e27a-67a6-4e78-ae72-bc221cb254a7', 'email'),
('5f882117-64aa-4ad5-a2df-77202644a2df', 'adres'),
('14558214-eece-4d18-aa18-f3f05f259e7e', 'telefon'),
('3167df89-e116-45e2-bb8e-768f1c452506', 'NIP'),
('410722d2-c874-44b5-9867-82d636ae596f', 'pesel'),
('1a2a403e-52f2-4a9f-8c75-a87ceb0c9cee', 'email'),
('f67d4da9-04fc-45e8-b2ee-97b1660c6bdf', 'adres'),
('bf189c7a-3996-485c-abe2-2c4586ba78b9', 'telefon'),
('8f78e863-5c36-4df0-9d6b-7823263cfaa9', 'NIP'),
('e5d98bfc-76c3-4ece-a53c-5c3285c46703', 'pesel'),
('64a7d533-77c6-487e-b19f-4cb12dc669f1', 'email'),
('8eafd965-181e-4d06-abec-a7ca36966bec', 'adres'),
('f9755ac0-dc83-4dbf-8da3-b024e15a04c9', 'telefon'),
('d04d7140-554f-4598-a9a0-88dd8e33b6ab', 'NIP'),
('f19a4158-84b7-4bc2-a9d8-506fc25df909', 'pesel'),
('cd12031d-3f9c-47e0-aa74-fe42345d8720', 'email'),
('92589651-a531-4725-8bce-947245d05fd8', 'adres'),
('eef358b6-4f88-413f-95c8-a326f08b9ece', 'telefon'),
('00b1e396-ab7b-492f-9db6-3e783cce0e63', 'NIP'),
('6450e050-f40d-4a8d-80f8-963576d0f0c8', 'pesel'),
('6d03c2c0-6f21-4d13-a422-0a93be6651bc', 'email'),
('c3a2b6a9-b169-4f5f-857f-3c8e942c9b98', 'adres'),
('a0608d8a-cfa7-48f2-aafa-0279dff89233', 'telefon'),
('18b107c2-2870-4c19-84bb-719ca2859393', 'NIP'),
('6cfdc5ad-f06d-4f94-800a-dd32bfc2d132', 'pesel'),
('5a927798-95f1-4c7e-84b8-554c8d6a48e3', 'email'),
('c601feaf-a8bf-4e35-a26e-98fa9e1b0161', 'adres'),
('7a0be54a-d671-4d8d-9067-fbaea59f5346', 'telefon'),
('10efcd1e-9e54-495a-b284-ab509e325e15', 'NIP'),
('35f10468-f102-4545-b70e-490293bf25ec', 'pesel'),
('ea2b101e-e1f3-4489-b175-a17ac7a348ca', 'email'),
('334d1f11-f586-4504-816b-54f47d04ddde', 'adres'),
('a34b88d9-6b29-4688-9a3e-90275fc31016', 'telefon'),
('d69e3ca3-9b31-4036-a425-5868f1733bfa', 'NIP'),
('33cda5f0-acd1-4b2f-a632-f16054c6d622', 'pesel'),
('708d323f-172b-47c3-b8f5-3eb52cc58c9d', 'email'),
('9331a765-81a8-43ea-ac6d-49637f18150f', 'adres'),
('e93ba4fa-172e-475d-99b2-879c8b0a1b5b', 'telefon'),
('d01f452a-7417-477e-b78e-0230b38bbb11', 'NIP'),
('d3845a99-f408-4a32-9047-72f760931546', 'pesel'),
('f400ed5f-80a3-4c5e-b61a-11b436a94d46', 'email'),
('f54f3b30-d1bb-4062-8ea4-916f86d09eb4', 'adres'),
('8359f817-69eb-4d79-99f4-ce68d2a1d37b', 'telefon'),
('39923d64-bbb9-4cec-bd41-183c6df4923c', 'NIP'),
('63c34950-730b-4f8b-a708-e5fd25e2a9fe', 'pesel'),
('e1794ad2-ad92-4981-a940-0d991abf8f1d', 'email'),
('b1430cbf-25a3-4528-ad81-e69c74b05a05', 'adres'),
('4be258a8-9eef-4596-8138-5946e1d7760c', 'telefon'),
('d2afa4f2-71f2-469e-8f1e-2e5afba02304', 'NIP'),
('dfece593-5637-4071-89e3-7fbed53391ed', 'pesel'),
('ea1fb8f5-a07b-4774-b0ad-06379b9a1d6e', 'email'),
('98d6c701-cc0e-4a4b-8286-2c2e2d08a449', 'adres'),
('c29ffabe-8aa1-4049-aced-db17d8e3bd62', 'telefon'),
('c8251a6c-a973-4cad-80a9-01460541b72f', 'NIP'),
('c1d3ceff-5609-46ab-bf9c-e8f8eed84f3c', 'pesel'),
('ae45f69f-e74a-41dd-a870-e3acd7b76447', 'email'),
('22c83dbe-3252-4f81-9495-fb50e3970ddb', 'adres'),
('f0183d18-43b6-47f4-acf7-ce5d8a5676c2', 'telefon'),
('81c53e35-facd-440e-8ccd-10868900c1e8', 'NIP'),
('7c5a97ed-c12d-4f4c-ab92-227d6da13f2b', 'pesel'),
('ce342415-07a1-4bf3-ae2a-a29d5d45441a', 'email'),
('3db9a3b3-3f78-4229-b295-36470e29b21b', 'adres'),
('6f852e68-7573-4f2d-819b-d036d65a5b98', 'telefon'),
('22fea1aa-0183-4add-9ebb-2b3f37f12372', 'NIP'),
('22df360a-ec84-4562-9906-c146593aefb6', 'pesel'),
('d1f0c367-bd6b-4cec-883e-4d9eee978074', 'email'),
('920ae62f-ef61-475b-8a55-9ccf026d531c', 'adres'),
('221795bb-9d7a-47ba-89a8-4075da23db8b', 'telefon'),
('b0b99a50-5f6a-497e-a4b8-4f4c1c6f4b34', 'NIP'),
('f492eefd-0fd7-4f94-b53c-7ac425a0645b', 'pesel'),
('e929c963-5659-4583-80da-a98d3a315a08', 'email'),
('92fbbc91-e69a-4ecb-ab58-5f6045f96180', 'adres'),
('531526e8-3291-4642-8de6-7d3be2e41b79', 'telefon'),
('e0765305-cb3c-48c3-ad1a-f322c71fbfa7', 'NIP'),
('3435f995-431d-45a0-9da4-200db21ac323', 'pesel'),
('552c9573-cddc-4e36-b6b8-98b94adacdfe', 'email'),
('4c358517-b94d-4100-b75f-31c38c927d53', 'adres'),
('be0f6c85-d8a8-4f0e-b891-1b0ee5206496', 'telefon'),
('21e014e1-0dca-4865-94ed-adfc3a565ca0', 'NIP'),
('4d4ec7be-0228-45f1-958a-c1cb8898c152', 'pesel'),
('956c8b7b-31e8-4a11-a4aa-5bf6ad66bb9f', 'email'),
('29476e15-746f-4fd0-a671-e0530bc3e141', 'adres'),
('a4bcb18f-88e5-4c31-886c-019cbeb8b3a7', 'telefon'),
('198ceb54-785f-4117-bbba-6ff7448e1841', 'NIP'),
('07be9f4f-a7f9-4311-85aa-42f568765e4f', 'pesel'),
('1792187a-01c7-4f71-8235-c3cf8466a333', 'email'),
('5d068081-751a-494d-8f21-51ea98d3ef02', 'adres'),
('91596961-73f5-4ae9-807f-6ab0bdfd1ff1', 'telefon'),
('cf35a735-58fc-4fe0-807c-fde3e00f516b', 'NIP'),
('b921daa0-2a8c-45b1-b6a1-be7bf94d2c68', 'pesel'),
('0296436b-47b8-429a-a809-eb7f229ceb8b', 'email'),
('f8cda111-5adb-40b3-8162-ae9ca5e07046', 'adres'),
('b69619de-2a49-49b8-93e9-c5155af752d9', 'telefon'),
('1fb36bd2-e587-4030-b8f0-df8a5003133b', 'NIP'),
('dd7e0f2a-fd95-4c21-8405-eaf29b396e01', 'pesel'),
('480927e6-e086-4162-875e-7572c7a3a506', 'email'),
('afd77241-4679-413e-a3e8-c1724bc08389', 'adres'),
('21aaf815-5322-4d3e-bc0b-4a1a690c5936', 'telefon'),
('5d3caf58-4748-436b-a641-17d74b75dee8', 'NIP'),
('4fd87b87-63ab-403c-b461-0030f43707ba', 'pesel'),
('a553d33f-6d20-499d-9003-9ec42c58cedc', 'email'),
('96feb663-979d-484b-a42f-2501bddd5f54', 'adres'),
('90dfae17-77fe-4ba8-a14e-fd876db21a72', 'telefon'),
('442ba35b-6c0c-4090-acbc-a4b443a14cda', 'NIP'),
('64f12746-0b22-4644-bd41-e3f34959d384', 'pesel'),
('bff8f91c-156d-4ca1-aba2-9b51a6d0669b', 'email'),
('5900f4e8-ebab-4841-9afe-a91cf0ccdaaa', 'adres'),
('f909bbf4-0b53-47a4-93a3-794395645620', 'telefon'),
('97cdd086-1928-4151-8acf-9506091914e0', 'NIP'),
('ed94ddd8-0bc9-47d4-899e-e4b45035f258', 'pesel'),
('78fb2238-12a3-42ad-bf24-90b1c370af59', 'email'),
('1e5baf93-8929-407a-96a6-19f0362cf6d2', 'adres'),
('4b9a5d63-cca3-42e6-a052-999ccd40ecca', 'telefon'),
('d56446a5-81ab-4122-9989-07c813d83f9c', 'NIP'),
('6cc8aa50-aaaf-41de-aea8-6dd62dfb0a9f', 'pesel'),
('c1c20cea-ed95-4a70-8a00-451ff4deada3', 'email'),
('093c3db2-b036-4d1a-89bb-9424ca05bb2c', 'adres'),
('d7084ec9-92f2-46d7-a167-492e21d8bfcf', 'telefon'),
('1adc6cb2-e448-4f10-b026-bf9a118bd1ed', 'NIP'),
('f916e72a-10e3-48cc-bbdc-b6ed67facfb3', 'pesel'),
('23c2bd2a-7598-4940-ad8e-d20056e6980d', 'email'),
('8121efad-08f4-4a98-987f-b9517316bac6', 'adres'),
('868468a5-f1d4-495b-9cf6-a2a30ae6908d', 'telefon'),
('e17fd69c-717d-4375-bbe1-0facee8f4b67', 'NIP'),
('d673df5e-fe57-4af4-bb11-cf58263f8b3c', 'pesel'),
('c701aa70-ab70-4b49-a67e-20114fe7fd31', 'email'),
('394ea47f-6ed8-4a4e-a0a8-8515b555024f', 'adres'),
('34aa5597-8594-481d-ba87-e326a41ee6b0', 'telefon'),
('15281eb2-532f-4c84-8f8d-8134ff87f278', 'NIP'),
('85851181-3cdc-4645-a30c-4a4cc206b806', 'pesel'),
('eb0a9863-4042-408d-89fa-5040cafbb06c', 'email'),
('1665f117-f4a7-4b77-a717-958b62bad643', 'adres'),
('21ac696c-1200-496f-8d47-8a654ea0adcf', 'telefon'),
('baad15fc-2f10-4139-9d5c-61fee4658f9e', 'NIP'),
('435f42bd-a947-4293-858d-c856962bedfc', 'pesel'),
('9b69da24-6d29-4480-9a92-3e460a10d3de', 'email'),
('c650800d-dd57-483b-9bb1-c20fc6100d03', 'adres'),
('51ced5e4-fc95-4b9a-9be2-12831daf0d5a', 'telefon'),
('78cdb4d6-5dc9-482d-8767-ea1ea7687bbc', 'NIP'),
('dd7fd4e2-818c-4ed5-bf58-7534f989e626', 'pesel'),
('9b49f706-778d-492a-9c3e-0526ce85a34a', 'email'),
('1bc40c1c-cb3e-44a1-a9da-b898ca6f769f', 'adres'),
('684c1ffc-c74c-40ca-8518-944e4a53d5d4', 'telefon'),
('238e8af1-5730-4860-b1e1-c1465209a1fd', 'NIP'),
('ec327a54-79d8-4d6c-abeb-58adc6d362ef', 'pesel'),
('43850fba-c96b-4a49-8808-0f9ee6db27b2', 'email'),
('eb77b76e-9201-4f39-a895-3ce898af2b0f', 'adres'),
('82659683-435e-4ea8-a04e-6546e80ef4dc', 'telefon'),
('83e31ded-df80-4230-b47e-1e6baa09b5e4', 'NIP'),
('379dce9f-cc83-4264-9143-8328b36cfae0', 'pesel'),
('08bf7ebe-13d5-4d64-835c-81089f6a56de', 'email'),
('e3193374-9ad3-4949-8797-6dfa91c8a38d', 'adres'),
('20e85ffe-5aa9-42a9-a310-2ce29c54b770', 'telefon'),
('34e04fe9-b6b5-4306-86be-1b5ea03f85b1', 'NIP'),
('5c668651-5da4-424e-a20f-7325a7f35f5f', 'pesel'),
