('7eca2cdf-74fd-40c0-8962-b5590543b2f1', '3762c92b-5def-457e-b27b-c7a7b20f67db', '690b0702-63dc-49f9-ba23-c6945c9a652e', 'f9cf0475-58b3-4fa4-98cd-af34b10d71dd'),
('3ccd72b8-1f6c-4c1e-9a66-47ab03c2a2fc', 'f9662188-2012-4d35-adb8-b3b5fe768939', '02184961-ae22-43b3-839a-65c9b2e8ebdb', '971fe897-178a-421e-bd2f-8f037c39652e'),
('67d48706-fa54-47c7-8ec4-a402900f90b5', 'fe98c939-3dcc-409a-b441-d25b9e33163c', '0a398c86-6a7c-4f7c-90e1-291648d3f7a1', '590038c0-39ef-4ea7-b75c-04067ae917cf'),
('08bd0da4-55fc-41bf-92fd-6a3bfd3c37f4', '7d866722-95fa-46c1-bdbd-44c73897d523', '5bc37a79-694f-4601-88cf-47c7c01a8e9d', '291c9592-2ce6-47cb-b1ee-91d118b1fb5d'),
('306b8afa-06ea-469a-ad28-92b81bb1ecd2', '8ad23df3-1681-48b4-a505-d34c324a132c', '1549d624-b8f4-4045-b7c6-27971642d509', 'a7a1ebf1-6ca0-45b1-a5ed-f8db7e49578f'),
('83573970-f89f-4044-b296-586d3be07e45', 'a9dbc067-7e54-4e8f-8078-822ca9e4943b', '017aec7a-7cfa-4691-9bbc-d50a900a13bf', 'fd70c4f2-b18a-4fcc-bb4c-34aa1bc9343c'),
('1ffb288c-aa9e-489c-b764-38771633017c', '3f52cfe2-f018-450d-a514-70fb52874cee', '3bce2fba-157a-4332-afb4-6059c13001fd', '19101519-4f9e-46d5-8bfa-314747a2e606'),
('0661b682-1af9-4e63-b977-632f9f2dadb4', '409b4656-80e8-4102-b1cd-21804bc59728', '3de693bc-6683-449f-a062-7b8fcd1e8503', 'f3e5e5df-ab32-4136-a704-6b2b19b3de0d'),
('d00a5378-19fd-4998-9878-6dccad27169d', 'f653dbbe-a7e3-44ef-84f9-c57870e20b4b', '5b16f3a4-b73f-40b7-b231-73ac93704a27', 'e0f4a1b3-9037-4fa1-8a19-b130a71d16e0'),
('4b9fe397-ddc1-4856-89b0-427f4e784a7b', 'fff54527-9f5b-4e48-aeb2-fa92a283227d', '3d662bbd-45df-4861-94cb-ea8c20686673', 'bdbac3fd-3061-40eb-8f24-a7223072c149'),
('388bf57c-3fbd-4487-b8a8-cc06c726b3a8', '59de82d6-3d73-4f56-bfec-57e3bbd3778e', '3197edcf-0c18-46e6-8ff3-1286745e2116', 'c341429f-1c59-4160-8fcc-647b36fea53b'),
('d6c9381e-b43b-46a4-812d-18eee98f6c15', 'fda8d3f0-26b9-4908-8be6-cd13663198af', '05ae62af-e041-40ca-b218-bddc9fd8fb45', '6f3cba1b-2056-46e1-ba7b-5286160c4d20'),
('ec5af41e-66d5-4272-8b75-86789be75cdb', 'a4336058-661f-43ea-9968-5c8c6122efb5', 'f40c0c4f-6151-4c55-b2b1-de1197bf81f4', '5076181f-9e37-4670-bf48-33cfb17bd6f1'),
('e1fc2ed5-1fa7-4573-9f0e-73ca038f1f92', 'b5c84fbb-8692-4a28-a4ff-3093d9d0d9e2', '61574040-7274-49f9-b02c-e599b36e574b', 'fa76d892-849c-45a7-91cc-416dee8883d9'),
('62a0c0c5-aeda-48b4-8226-c864de0b68c5', '667e9d29-eaa6-4ae4-981c-f7039b4c3590', '49caf77e-a1dd-4c54-bf7e-58a19cb174f7', 'a422895a-dbfe-4af7-9efe-70f0d385bdc9'),
('88f8dce8-7021-4bcc-8c39-c304d0302486', 'ea786bfa-b08f-4ba7-98e9-273dfe7ad195', '49a7e164-f31e-4deb-b3ad-3b4c8b96dbd8', '5c8100d3-74b9-4944-bb1f-d360b8fa38ce'),
('cbd60f6e-b73d-4b93-b7fc-c9a992e96b63', '13a45f9e-7ea9-48cb-9f61-17206b8960cd', '3618aa60-2edd-4233-8f1f-ce7487834d2e', 'e3202058-e91d-45b8-ad6c-585b3158675a'),
('104ce3a8-91ab-4340-8ab8-3630bb12c693', '5334287b-2838-456a-a064-330c308f4c99', '0987e3f1-2476-4b4c-bec5-c26fdf036463', '42c24988-511c-47a2-8c64-f795be2324d3'),
('666b304f-7b09-46d9-a5af-87ee77351949', '56d506a9-0bdb-4c84-a7a7-5a66fa73334a', 'f14369e7-2b26-4dd6-a866-adc90abf5cba', '8d7f3814-6088-4daa-9bc3-d27c32b0f901'),
('3282fc0a-959f-4b12-87dc-e9d043a4984f', '143e8d4c-134f-43e1-b3b7-e09be835a1da', '84f9662c-1443-4110-9919-898892bd26ff', '37c3930e-487e-4994-9080-0885f69101f1'),
('2c847cde-554a-45dd-8f3a-c7351045e01f', '2a39c32e-d672-4e5c-8e9f-89844b3a351f', '3a8a8925-f7a3-45b1-b53d-21e9951da71e', '314e8b44-164a-494b-9b0c-3c0b450f9f73'),
('dda98fb9-6c0c-44c1-8267-9839a1b67e01', '24967bd8-621a-4040-8db4-1daea43b078d', '88f963cc-4925-496a-9e6f-860aeae82fb8', 'c9f1f015-97f0-478b-a14a-779ba197fa15'),
('c82ebc18-fec3-470f-9800-fe0f1c425c4c', 'd141f7e9-f80b-4456-8e64-5c10ed41baea', 'ee18331a-0874-4125-a248-9a6d61e661c4', '0edf4714-f059-44c0-8721-132709430ced'),
('7989fd04-d16a-4a58-9294-16c3df924cf4', '9cb4326f-459e-49f8-8e19-9d8be6be3c5d', '7b193825-15d5-4d4d-a718-55dd514adfbd', '98282362-d614-4b44-9afd-92512c9050c0'),
('cdf4d188-8443-4bfe-b853-561b3231baee', 'a1901fd8-7f21-4233-97d7-bbacd02c7194', '7fa5c5ff-9ff7-4303-afc7-0ecf0f201650', 'a8907e3b-a51a-438b-911d-6f7b43c1e8cb'),
('f53d75db-1145-46f9-a3df-61331fac4bf8', '5139afdd-8827-4ea1-b5e0-d3eb3cb73cc3', 'adfb931f-b87f-4e01-9d90-04f61f104c74', 'd79202a8-cc05-4c97-a568-abe3eafa6212'),
('a04db0d1-492d-4eef-9092-05e8d602ce45', '56a90cb8-8089-4b87-9f6a-1572181a4407', '909c6fbf-59d1-4376-b8eb-a5e32497bd82', 'fbe30507-adb3-489b-8aaa-719ff5f78557'),
('7f0963ab-406b-4124-b258-bd90a88ece45', '03d4ba10-df58-4516-9dfa-9ae5072b3ff5', '9558c6d1-2458-41be-a772-93dfea280b4d', 'dfd75a93-d140-4540-8e83-036c517434f6'),
('5e7f2d48-f89f-40e4-a8b6-14a5d2babf81', '92ecb910-64a9-4420-9d4d-b33a51fb91fc', 'f7444dea-f85f-4dcb-924c-1d199f1391a6', 'bf78190c-c215-4658-9a4f-f7ab31f909c1'),
('0420e9ef-8776-4a43-92c2-f9b011aa0035', '654ca080-f981-44c2-9e73-09f024c6a7b0', '3dcd0970-1cd9-42fa-97f5-701f622174de', '6235e346-60bd-43ff-b023-1973a37fb33a'),
('c4bb483e-2f5b-4c07-9591-4fbb2e050b0f', 'ccc17b4a-3136-4a1f-8b57-643348fb3a5e', '08b426ee-8cee-465a-a46f-334c8ad7912b', 'b69ce60a-c65c-4d97-ba17-03789c1821db'),
('8e6b7b64-93d3-4cec-90d0-c142597be350', '40692e7f-c7e0-48f0-80af-211ebbff654d', '961f13bb-b26c-4f23-9e41-2220c0b5f5c1', '6b06588d-a319-4666-add0-4ae54478cb37'),
('fdd3b334-eca3-4fc4-a9df-07b7ccc43937', '436873fb-4824-4fd6-8282-80104a19337f', '5116d72a-36b2-4410-915b-2dd4896dfed8', '6a1b60d6-09ae-4460-b830-94ae3d36c139'),
('7a8ec402-a6ac-48d1-b0ac-5e60c4ab2b69', 'b24b24d7-2cf1-465c-ab39-8270fdc4227f', '11610ba2-1ae6-423f-bae4-77221e95ef14', '60fc55ec-7cb7-4b56-9612-e2d4d3737aaa'),
('8d21c185-03f3-414e-9184-5bd5416594d6', '03974646-69b7-46a4-8939-e32f63ce19f0', '50940dcd-211f-480d-8dd5-f0cbcd2e92e0', '679a26db-70c2-45bb-954f-9c28a9c9f297'),
('658083cf-c8ad-400c-9ffc-7b86fad7bca9', 'a47b9d16-4671-4623-b3aa-4665ceea5ed2', 'c0260c0d-fbc1-4b31-9be4-0ca02fc7ce6f', '5d7a347f-2378-4244-bc3c-c525498da989'),
('d01ade16-f20b-4184-b401-421ced8a47bc', '41ef96e7-5b7f-4d3d-9b4f-b03d41998af9', 'e7f07bdc-5817-4aa2-b5f0-70e133eaee45', 'b190d57f-09c9-4b46-90fc-de28c99837b8'),
('a2608a8b-3971-4128-9667-d6f79f45dc72', '167bd0e6-bc8f-46be-be64-3a0fdd414a37', '85bc6312-7d25-4ec1-847a-163a9bdccecc', '75c2af61-fead-4232-b7e2-04d7933ef12b'),
('b37af5d8-6c55-4a63-8ce3-bbbb5455e9a8', '601b82c6-03bf-4913-a012-2fd035823a8f', '629e25b4-c08b-4de5-ae3d-e2ca82a116c5', 'c6e13019-3781-4856-b73a-88e3886d0fc7'),
('0880e017-131d-411b-b39c-cc7e6ee28d70', '5adb964d-15b8-4893-87a4-3dcf72d878b6', '8f79a4ce-9956-4fdc-9720-956760d9e093', 'e4355c3b-eb45-453d-abe3-3dfa70df4884'),
('f8d01747-bb51-482e-9484-e1aa97e75e6e', '4805f69c-50fa-4f62-8d26-5b997189ffea', 'eb4b82dd-b24a-49cc-9efd-4b95c64677ef', '1e41216a-149b-401d-8b5e-d41d950a7735'),
('21ec40b0-613b-41bb-bcae-503db8c6de77', '1594ec7b-69ed-4496-8f40-be5bdf07cac6', 'd6890611-93e8-454f-ad77-5f905bf95c87', '4b3fde0f-1ce5-4428-8d93-f511058e6706'),
('12c58df7-06be-475b-a14a-dad567cd0171', '1253567b-3d27-45fe-a3ec-d95c291ed653', 'b288c9c2-c2c2-4f0c-a56f-40bee9ce8f73', '1372b17c-1cce-4c81-ae72-4c8ad7f8bbcf'),
('ab7e3c42-7b0a-4443-987d-55cc5832a7c9', 'aa4b3d66-08f7-4726-917f-e4bd2497ddb0', '45861330-4839-4520-8db5-7a4ef09d4376', '4baf458c-0530-46ee-a76f-30b99ef1e1ae'),
('df312500-4114-4904-8ed5-9d126aad1385', '85bda87e-ad4e-4eb9-8830-49b15bc369be', '0a3dab2b-2ca1-45fa-8e39-70632ad11137', '5e0ae94e-e809-4801-875e-9a7efd5a8203'),
('7c171a46-19f4-4f6c-a41b-cf8db830a306', '3e9051ff-94d8-4c41-b43f-9a813714def5', 'ecd14bfa-241f-46fb-bd14-c5686f7df06f', '9af0a933-0bd2-4f7f-a6da-9e2dc5cabd99'),
('5a1014ce-422b-4026-87b7-7a2a8ae6063c', '0c0929f7-397f-4fdd-a687-342c6e751127', 'a996b78d-8383-45a6-827b-0cf7d953cd39', '93ef1f82-8b78-4058-a889-10ef39677482'),
('152f88fe-0e09-4fca-86c0-f009fccde25f', '92c529cb-6737-4bb3-bbf4-9846ede02043', '570b2e6d-4e29-47aa-8e31-3074b25f9be4', 'be771cbf-d15e-4761-b5fc-d400e3e2e7d3'),
('478275c0-7604-4c9f-8030-1a362716b8c2', '99f4eb97-5e06-4449-8c2f-d4dead0b035b', '47fcd0b8-7d21-4aa1-a275-f849f3b4978f', '8d613ef4-2f9a-4b47-b3d5-363bea9e4517'),
('443ff64d-28a5-4650-917c-f43206a9422d', 'dff8c196-697e-4145-b0a1-be7ac72d1790', '9ebd2512-ab97-42a2-9c34-038cabf91af3', 'fce6ef6c-cc5e-4250-83bf-64baa579a923'),
('c8fee411-a4a6-4367-9c02-3ff6a4c06128', '7896d078-618d-44d5-b91d-1c48f20aae71', '42af2d54-d9e2-4d03-9dde-ac1df3a6c894', '1dc23e2c-b53f-43e3-9b80-34ea79f3b8a1'),
('25a49208-662f-42c5-b16b-7aed144580a2', '8615c613-0488-47ee-b546-2b1978705f6f', '49fbcd5b-82f9-4c47-a0d5-16c22bc606f0', 'f06bcef3-2022-4cf2-aa7d-8c541f154152'),
('bedc6076-9269-4ade-a14a-beafbe3259fc', '365d4715-ed65-440e-ace6-10b73ee42f77', 'da75f172-15a3-4484-8d17-2cbff9ebfe55', '821451ac-8d60-445a-b67f-3193a9d9eb1c'),
('58e49d79-8836-4a7c-98fc-0285eecc58d7', 'af3de0e5-b102-4ad5-b94d-eeec94c2aa1a', '493ccd2e-a76c-4418-9d3d-9501526c6e84', 'a0c29acd-718a-479c-981b-cc91d10c1013'),
('4d73297c-7ff6-48d9-9c0b-95f06ec3f0f4', '4e46d86b-475f-4801-b68d-1200a3fad7e4', 'e367f83b-453a-4c6a-b2b0-042d3731944a', 'ac46f330-fdea-48de-9f4b-6208c19a183b'),
('c3e5036b-ee9d-4a12-b5fa-abe176e72cb5', '5ce6ef74-a298-4713-b918-ab24ab87487b', 'c942189b-2c1d-4af0-ab0f-dd173bfc1a2e', '34a85f51-4391-4f55-9372-b07ba1a924b5'),
('56eda27f-498d-4232-b86f-be8cf134fe87', 'e96f9106-b5e9-43a7-95fd-7c525b020816', '2945d132-16b9-47e8-8b22-775016b26916', '2868f6e8-9f6a-47da-b1f1-e95c776d5297'),
('d0b85e1f-a3e3-4f59-b66e-e465b360c9c0', 'c8a91b82-0ad0-449b-98d1-3e79dd79d0ce', 'f2c6cb41-210c-4097-83a1-cdb069408aa7', 'cbd6f106-eba9-4bfb-8ca5-1cb25993c4bd'),
('4ced20fc-351a-4591-b34d-a914241c88af', 'a81b478f-3d1d-4912-906d-28e03c0b19fe', '434d7e6c-f602-423e-99ec-863793aa7cd4', 'ecabfd7f-674b-4c85-898c-ad6509321be5'),
('3cd84542-bc78-4ae1-9dd9-3665e179c3fb', '276cb136-157e-426e-8cc5-20c2531880c9', '57953456-e242-4630-a64f-8fe2e70aba21', 'b3696630-296b-46fe-b162-15f37f67938f'),
('c0a12687-d386-476e-9166-21c8c3c5538b', 'f3ff9915-0828-463c-82f9-16e1db4a65f4', '0f6c1870-85cf-4c4d-8faf-c7c4fcc831e4', '47d30654-6af3-4bbd-870b-6af026ee0687'),
('4bb9ef36-bb66-4f75-b36f-bdec85e12067', '70b36d32-b5e5-49e8-8dfc-2d1dd0dd3ac7', 'e1c13315-17bb-45fc-ac7b-b26fc26e4f88', '4c402af6-9d12-4e28-bf8a-a6659b15ba58'),
('44b4aa92-ae76-4879-97c9-796d36dd5188', '8e996365-2dd7-4ff4-a811-80ef62d89863', '9055aafc-fe3f-4d8d-886b-7424a840befa', 'fff33a65-2015-4335-a34c-c7838153fa81'),
('4d2d04c3-49e0-4792-b39d-e0764988d1d3', '6be29d95-f17a-4040-9ca8-bb7e466b5557', '8772eb65-fc7b-4cdb-b5ec-04d351f2c7f5', '47c617bd-f164-4a18-b642-0ea434e924d5'),
('c0cbf098-d0d3-414d-a58c-83f1822cfac2', '0f53b830-42ea-4e93-9050-7943b292993c', '9b9dd97a-f8ce-4eaf-8612-d0af9e8b30b0', 'd9361397-0c54-4f38-b3f3-89f8d6c9b577'),
('61c23ddd-6227-4974-bfc5-3580bc21f1ab', '24d01905-a819-422f-8371-ede5a42f5b06', 'c8a12667-39ed-4f5d-9076-98d0dd8d62d4', '6abf5322-4d83-4caa-a0b7-6b8e9edc1c01'),
('e12dcc2a-e7a0-401c-bea6-192a91e3282b', '2dedc4c8-903e-44d9-945e-4e29ab3531a6', '915e0ee3-efb3-4b70-b7c7-2e95a1ecf23d', 'bc851c74-2849-4ada-a926-ccbf5d8bf372'),
('35c3653e-23ef-4d0d-9026-74f97256e837', '1f226561-0e0a-4d21-8fc0-a778fbecf15f', 'f608997f-b398-4079-b424-96d4be334616', '2a5e980e-0872-4818-9a1a-ee575b1c8db3'),
('972cb7c9-124b-4870-bd86-42b7895ac47c', '0ccf0d38-86af-4ff1-9f54-377db1274d1a', 'f1803353-ffd3-401d-bfbf-6ae19873498a', '6d5ee8c8-b8e8-496f-8e4b-9710ae4c4762'),
('1ffd5c86-51ae-4b75-9efa-0018d61433b1', 'b13f199d-b609-4b19-9adc-2be3b6751fba', '929737e6-23c7-4dcf-a430-f04a5d86b9d2', '236fd83a-923c-4c3d-99c8-a6b527096e0d'),
('058a7e65-3333-4cda-8720-e83a03f64145', 'f9c50904-4873-4177-ac84-f0411afa9d03', '2a63bf25-7d18-4d89-8263-e79d78292015', '5eb60ae0-db8e-449a-bf60-eceed97b37e3'),
('35b2cb03-9a77-41fd-a8ae-a1b1b6a22c32', '6980a62f-bd31-4408-9c59-9bf4bc96cb18', 'e19c29af-299a-4f5e-a418-2a33f2e1ed96', 'ad0073d2-ee6d-4af2-bd05-d51cd36924c3'),
('c3f88d63-8aa7-46ad-8e45-48bd88cca079', '6e9ac23c-4b6f-4ed3-bbd3-d73e02a63931', 'b974d057-f511-4aa4-a274-67f50950f957', '9585923a-933a-48f0-bf8b-fc08ed34d521'),
('404e29e7-015b-4b93-af56-cc91bdec750a', '14cbac6e-d41f-44a9-a7a7-110e5618f6a9', 'd684df80-aa78-4aed-902f-f505d84a5095', '4c06b689-45aa-4959-8953-6578a7e2aaa1'),
('5063698e-ae76-4dda-926c-e708b5193e73', 'c5685468-2245-4161-8034-6a1d48ed3c53', 'eb648ecd-8427-4887-b91a-9798ccb32cbc', 'ee40cdf5-866a-407f-a605-0d569c219bf6'),
('be0cd790-a73f-4135-8b30-8ac530027c0f', '1eb1e9a1-096c-4206-b7ca-4025e501ab11', 'e4c814cc-5897-4f50-810e-5c650b4181a0', '1c85aaca-f254-4974-9411-fbbf0a3f05f5'),
('e0548048-65b8-4cc9-863f-7234df7e5b21', '239531be-69af-4adc-a9f4-6a6c348e3dd3', '220a088d-83ad-47e9-ba61-bf4910f63845', '7d2a0d8e-e02d-4db6-81b2-3bf91b74eea4'),
('02774a01-6a00-4452-a1d7-b88d146ead13', 'bb6b016a-0cb3-4f71-b10b-eb3747ea4bc9', 'a320dd8c-7e66-4eec-ae69-be365149fd37', 'db20ddae-190d-468d-a684-3cda8af95f71'),
('9a2106eb-b5ac-4d6f-b96b-45ea2b464fab', '9c269197-0905-4977-b8dd-249b21b06064', '8d781d6f-e571-4f51-9e88-19d972cf973c', 'a525ec54-6dce-43fd-9b90-4559a8951d29'),
('152ee117-4dee-412f-a28e-d8c9a5247d2d', 'c5d479db-0909-47a6-ac60-224138adbb66', '6e21c91e-3066-423a-9213-9abf75aa767a', 'c94c07fb-6e33-4345-8118-3a6871701b31'),
('2ebe6207-81be-449b-80fd-09811c829257', '2071b0d6-aba4-4fcb-9784-ce612d4c1737', 'a654304b-3f4c-470d-a685-fd457f603f12', 'ca149564-f780-437f-901e-aea2ec4e08a2'),
('8c577fab-4c1b-44fd-8b32-94597b84e2b9', '9912873a-1d93-475d-adc7-c6c14d484db5', 'efd4ebfb-6bbb-4cab-8283-b9fff2f085b0', 'c0177f56-428f-4350-a5e3-382bc26c29e3'),
('f1bf1205-8340-4fdd-a05b-4804221d0504', 'c553ed32-31e0-4837-bdbe-e714b5059ecc', 'a7e6f6b7-06b7-4228-a643-dd24cbeaa747', '4a66b04c-3213-4b3a-b3aa-6483fcdbfe95'),
('c1c6b6c7-6c0a-4fc4-ba63-fbbe44a43d98', '7d8d5659-0402-497e-af9e-ad4b42857136', '66d8a40c-7752-42fb-b35a-e3a68ad4c2cf', '17b3c5e1-7dd0-48ca-a207-86c9e496a89f'),
('2e17b4e1-7236-422f-b351-7b83c8852b0a', '96afe08c-ccd6-46da-b9a9-328480201081', '095f5385-29db-42cd-8a7d-4970cd8d635d', '288999ed-f4a4-47cb-9b30-c9a1061edb94'),
('2886b46d-3a69-450e-98f3-a16cab46f596', '7d3e909f-d58d-4410-89e3-6af0bb94150c', 'f452dd72-1791-4d87-a9c0-de475ccaf1b5', '65a8d95e-58eb-4eee-a547-21e21fd88780'),
('5edd7e8e-cbad-433b-994d-3627726d9218', '83a69222-dba7-49b1-9046-3f0bd9a20dd7', '0fc5157c-39ea-48f8-b2ad-505ebae967e6', '24d49fe1-288d-462d-97af-2951f5286237'),
('4ed12bdb-e255-4961-9d7b-2d20741e2ee1', '765ee284-5cb7-4e80-ac11-3b45d207565e', 'ac3ae219-74df-4e5d-be19-d148a82eab08', '7ebe8473-38f1-4937-90c0-a1e4ed9bd7a5'),
('b95ee215-0c42-461a-9550-412f44723431', '5db6c25f-1296-44a4-a6cd-cf9b2decc07b', 'f3f32ab6-5e5d-4c21-b850-37d5d8970b86', '3594697d-a39a-4da0-8c62-083f0835fa9c'),
('17f509ed-ed7e-4cb5-8525-b9ca3312e5be', '466938f0-c273-4e63-a8f5-625e80da8ff0', 'dde07142-13a7-46ee-9cde-39b1735b75ce', '68302677-36b7-4088-b1bc-edaef831e991'),
('ca12c33c-e951-43bd-90d3-d82ff1507dd8', '3d654148-3e68-45da-9bb8-db3d8ec3feb3', '36b7c98f-53ba-42a5-8e7d-80e61e17454f', 'f3419991-a3e5-4df8-baf7-8e42386860e7'),
('0cdb5476-8769-4647-a75e-1c5bfc5f763e', 'a3525971-f9b4-4d9b-8f2f-53d331b7b683', '0d4623f1-4888-40ad-9f35-eba12f07abf5', '7d403c46-5b64-42c6-afa8-a0ac40e9ae26'),
('54db1f1e-4016-49f8-bcbe-843f43f1ea88', '158b7a38-56ee-4f4f-a848-2afc598dc8ea', '9582d61c-eb07-43aa-9cf7-588be8d57609', '95bbcc35-8f6c-4477-8e62-549758006dad'),
('f83710bb-d35e-460d-ba25-506bf14ded14', '476ee98a-2a4c-406f-8557-ca44c31f1e3f', '3a3c5957-6abd-4da6-886e-1da2ac6642a7', 'cabb80e9-268b-4e50-a2b1-d2a14e8f63d7'),
('7f26bb28-4733-4d69-a57f-b4f88415fc50', '74bc6ee7-bc97-4851-9865-4ec98f59fda2', 'd3a6a0af-550a-4e12-a134-b35e5cdf9c4f', '0e094342-8e62-40d7-b9b9-7b997d94c49b'),
('25143acd-e72f-4530-baa9-7a5f7eed333d', '8ec65b9d-ff2a-4f11-b39d-ac2ef5c1da87', 'e69c4b9f-1964-4463-950f-c0d6f6b4904c', 'c48e5acb-2f95-41b1-b875-816dc7564813'),
('47210b6d-6c2e-41ef-847d-514ec980f8c1', '84a53c02-e0a3-47b6-ab87-110bc84b8b45', 'ad07edd2-98ac-4e81-93e9-9d9da3446a98', '3e736f0c-819b-4b6e-adb4-ba8cb2b528a3'),
('66e86942-8a6d-4452-8fa6-8ea7aa90049a', '7d899f1d-f69e-4f1e-a131-4197019cb1c7', 'ad11ff97-a845-4d61-a65a-8e8fa3dc90d5', 'c207c76e-55e0-47fe-93f7-1af1d5b76630'),
('f1640b94-91ba-4a59-9e1b-8fe44557e58d', 'd86c4d9f-4f3f-4f59-af78-2f48a30e35fc', 'f9b1ef83-373f-4768-8a09-5cff103ef96d', '688d8a87-0632-4a17-9c58-a10de611042d'),
('165d9de1-522b-4f92-8983-43d322eeda72', '09bd003b-d969-4257-9c0a-878c09ba51a3', 'a448c354-437c-404c-9d34-8b6464cac3f5', '2fe1ec9d-4bbf-4ff1-98c8-32653cb3540a'),
('aecebb2b-584a-4b87-b4cc-f8373ab51c70', '702fffa9-c5bc-4b16-9368-af6f8b5a4c14', '3bba2a6f-c120-4460-89a1-3ddcdf799053', 'e51209cb-d08f-4953-9749-39d8d9310d58'),
('eb4ee035-f7e6-4f1a-b49a-fb95b7f1cafd', '3b54cb4b-cd41-427c-979e-03852bf487ef', '8f02e2b5-0d53-4edc-9ecf-9fb3b61a8e69', '0ce89886-5aae-4a5e-a37e-af6b4650973f'),
('d6638115-fec7-422e-b9cb-41d97101daa8', '3d2d86ac-a634-4025-a8dc-7c672511f114', '72ac4645-42f4-4101-b773-03b980d6da25', '6c9fbc5a-3684-485c-b347-a03c38bf2d10'),
('1b5cd49f-bf96-42fc-94de-cdcc489c192e', 'd78d9c55-3c9e-48c8-afc6-ffe01c09f65d', 'cc47be25-23d3-418a-b900-3c03442eae1a', '601e6e1b-1fd9-4aac-87ea-7998f7d2ee1d'),
('bd6c4225-52d7-45e3-8c28-de4655b287bb', 'c627eb0b-fc7d-4671-a88d-5500afe1e4f7', 'ee046f4a-7549-427b-be0d-bac74b0f7b6a', '62da30df-a40c-4ad5-bbe0-b14eb6a6081e'),
('a3efb100-c745-4fa9-a0b1-2ef66f532521', '66f6d58b-7fdc-43d3-95e9-bec55d5f3db4', '68579431-cf62-466a-bf74-38448da6fe58', 'b98e4be8-1f91-4861-aa53-3161befd04c5'),
('3dd54db8-059f-48cb-905c-47fb053d6fd5', '4a9cd4cd-4c94-4424-9196-13c2954a14ae', 'ae4775fd-d8a5-4c67-812d-0820f2ee247f', '4e739d23-12bb-422c-8cc0-8a9f2fafc25e'),
